rank,method,world_score,applicability,convergence,abs_bias,rmse,coverage,type1_error,power
1,PBM,0.1212,1.000,1.000,0.1584,0.1928,0.886,0.0500,0.6057
2,SWA,0.1226,0.569,1.000,0.1266,0.1532,0.831,0.0714,0.8021
3,TRIMFILL,0.2606,1.000,1.000,0.1515,0.1876,0.787,0.1017,0.7395
4,HKSJ,0.2714,1.000,1.000,0.1679,0.2010,0.795,0.0817,0.7595
5,TAS,0.3246,0.569,1.000,0.1551,0.1837,0.768,0.1276,0.8315
6,REML,0.3723,1.000,1.000,0.1679,0.2010,0.740,0.1217,0.8186
7,PETPEESE,0.6500,1.000,0.999,0.3432,0.4710,0.901,0.0500,0.2383
