rank,method,world_score,applicability,convergence,abs_bias,rmse,coverage,type1_error,power
1,SWA,0.1089,0.564,1.000,0.1193,0.1442,0.825,0.0530,0.7854
2,PBM,0.1609,1.000,1.000,0.1600,0.1971,0.887,0.0400,0.6108
3,TAS,0.2560,0.564,1.000,0.1500,0.1740,0.787,0.0199,0.8470
4,TRIMFILL,0.2900,1.000,1.000,0.1527,0.1898,0.780,0.0970,0.7466
5,HKSJ,0.3039,1.000,1.000,0.1709,0.2049,0.786,0.0780,0.7652
6,REML,0.4029,1.000,1.000,0.1709,0.2049,0.730,0.1110,0.8213
7,PETPEESE,0.6500,1.000,0.999,0.3401,0.4487,0.906,0.0500,0.2450
