term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.248164199256586,0.143452822408943,1.72993598236179,0.0836417135877138,1.28167036423815,0.967535335112568,1.69779734439904
assumption_debt_score,0.333596432638777,0.0618680895184227,5.39205970695832,6.96546138477244e-08,1.39597965805305,1.23656203577605,1.57594940594702
log_k,-0.541031717858557,0.0471306443715099,-11.4794042193407,1.67430237598751e-30,0.582147330639119,0.530779933855459,0.638485920348563
abs_estimate,-1.2530189065707,0.115251551027553,-10.8720350867221,1.56666714122174e-27,0.285641169906865,0.227885505142597,0.35803452218125
tau2_capped,0.62911627779154,0.0930070561297231,6.764177944887,1.34068225285109e-11,1.8759520260547,1.56333670073696,2.25108001520068
