check,effect_metric,estimate,interval_low,interval_high,p_value
Primary model,OR,1.15120783181942,1.03184885273828,1.28437364496303,0.0116889654346351
Primary model (no-Egger score),OR,1.17550051236276,1.0454345335482,1.3217484311287,0.00687825132094814
Primary model (no-Egger score) + cluster-robust,OR_cluster,1.17550051236276,1.03176028143958,1.3392659898064,0.0151048765323094
Assessable subset (k >= 10),OR,1.31233517052953,1.08559895763221,1.58642709418687,0.00497417899535907
Assessable subset (k >= 10) + cluster-robust,OR_cluster,1.31233517052953,1.07205573401118,1.60646834410831,0.00842996060031291
Primary model (modified Poisson RR),RR,1.08345044109321,1.01659048839797,1.15470769370953,0.0136887452308199
Primary model (modified Poisson RR) + cluster-robust,RR_cluster,1.08345044109321,1.01046749569591,1.16170471915736,0.0242803961652084
Complete-case outcome,OR,1.12515032619662,1.00711186633709,1.25702347361344,0.0370396780321256
Complete-case outcome + cluster-robust,OR_cluster,1.12515032619662,0.996387229951709,1.27055347407626,0.0572193247165916
Direction fragility outcome,OR,1.1691741005028,1.0152362600503,1.34645316669325,0.0300117607828679
Direction fragility outcome + cluster-robust,OR_cluster,1.1691741005028,0.999377340131659,1.36781976376056,0.0509120545935685
Significance fragility outcome,OR,1.2966428839534,1.12011427377259,1.5009921825604,0.000503008159240178
Significance fragility outcome + cluster-robust,OR_cluster,1.2966428839534,1.07754617279825,1.56028837645156,0.00594357394836127
Clinical fragility outcome,OR,1.39597965805305,1.23656203577605,1.57594940594702,6.96546138477244e-08
Clinical fragility outcome + cluster-robust,OR_cluster,1.39597965805305,1.21209795837836,1.60775718845786,3.67036452468168e-06
Clinical fragility outcome (modified Poisson RR),RR,1.2455764034488,1.14755548770396,1.35196998615956,1.5837579430204e-07
Clinical fragility outcome (modified Poisson RR) + cluster-robust,RR_cluster,1.2455764034488,1.13476196869284,1.36721234904939,3.84890896486522e-06
Clinical fragility outcome (dataset-equal weighting),OR,1.31550067362542,1.15776085474776,1.49473184830208,2.63062165533583e-05
Clinical fragility outcome (dataset-equal weighting) + cluster-robust,OR_cluster,1.31550067362542,1.08497718067133,1.59500315134569,0.00527510696015693
Joint fragility outcome (direction AND significance),OR,4.056940327703,2.22204420647794,7.40703752632847,5.12693943471801e-06
Joint fragility outcome + cluster-robust,OR_cluster,4.056940327703,2.28254554249403,7.21070599299377,1.81959569725507e-06
"Joint fragility outcome (direction AND significance, modified Poisson RR)",RR,3.76292025633862,2.04198486450061,6.9342183195008,2.19128195289939e-05
"Joint fragility outcome (direction AND significance, modified Poisson RR) + cluster-robust",RR_cluster,3.76292025633862,2.26583533360692,6.24916058353776,3.04727125225891e-07
"Joint fragility outcome (direction AND significance, dataset-equal weighting)",OR,5.45045529040072,2.92733979814704,10.148279639918,9.41777398516447e-08
"Joint fragility outcome (direction AND significance, dataset-equal weighting) + cluster-robust",OR_cluster,5.45045529040072,2.75164026092377,10.7962742421438,1.15876320546742e-06
Composite fragility count outcome,RR,1.15613350435867,1.09735358396463,1.21806198059836,5.32991614247334e-08
Composite fragility count outcome + cluster-robust,RR_cluster,1.15613350435867,1.09070024048256,1.2254922391044,1.05681108837669e-06
Cluster-robust,OR,1.15120783181942,1.02129468262976,1.29764650162466,0.0211717656875211
Measure-adjusted,OR,1.14550120697879,1.026070575254,1.27883310060327,0.0156001688858135
Measure-adjusted + cluster-robust,OR,1.14550120697879,1.01540662200608,1.29226359839713,0.0272040831704414
Dataset-equal weighting,OR,1.24224409307069,1.10785467683341,1.39293575144701,0.000207015905041351
Dataset-equal weighting + cluster-robust,OR_cluster,1.24224409307069,1.05993789599835,1.45590641922989,0.00738697395737288
Within-between (within component),OR_cluster,1.0864685455864,0.963789816502905,1.22476278576147,0.174888876784851
Within-between (between component),OR_cluster,1.35287179308955,1.05703732286425,1.73150185802132,0.0163684052791692
Dataset fixed-effects LPM (clustered RD),RD_cluster,0.0228796519936762,-0.00226923880177177,0.0480285427891242,0.0745627090841931
Dataset-level aggregate model,OR_dataset,1.27147199925026,1.02613084790592,1.57547260973259,0.0281036151892187
Leave-one-measure-family-out,OR_cluster_median,1.15888276938101,1.12378194665483,1.30580286424467,
Exclude largest reviews (top decile),OR_cluster,1.19543124980702,1.03113490145257,1.38590583152801,0.0179591779495229
Cumulative largest-review removal,OR_cluster_median,1.19161598715588,1.14468735995495,1.22092042496168,
k-stratified (k < 10),OR_cluster,1.63057729298271,1.33118864375486,1.99729942173428,2.31298368711602e-06
k-stratified (k >= 10),OR_cluster,1.25455254780215,1.03973253353565,1.51375670610667,0.0179516289463471
One-per-dataset bootstrap,OR_median,1.24762270866912,0.91860106064296,1.76910107455468,
Dataset-level bootstrap,OR_median,1.15309484167771,1.03576227901745,1.30114746775357,
Leave-one-dataset-out,OR_median,1.15112531885342,1.14452497668488,1.15789842652285,
Threshold-grid sensitivity,OR_cluster_median,1.24748047333075,1.11392930057942,1.39826013947592,
Dominance-threshold sensitivity,OR_cluster_median,1.15120783181942,1.12774790070202,1.2005110893895,
Egger-threshold sensitivity,OR_cluster_median,1.15120783181942,1.1401763986292,1.15414242309006,
Tau2-cap sensitivity,OR_cluster_median,1.15120783181942,1.08929375400644,1.34202657052214,
High-leverage exclusion,OR_cluster,1.1484404742128,1.01284283208844,1.30219169354299,0.0308448843605957
Effect-size-tail exclusion,OR_cluster,1.17344956177737,1.03999323047108,1.32403157413994,0.00941495393048822
Non-sparse-events subset,OR_cluster,1.27957131664617,0.956616597391131,1.71155587186008,0.0966849035261491
Heterogeneity-present subset (I2 > 0),OR_cluster,0.953122575718108,0.808999333732285,1.1229213751666,0.565974478879532
Permutation sensitivity,empirical_p,0.08,,,0.08
