term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),1.42389059388968,0.203179721773885,7.00803496263424,2.41688421019267e-12,4.15324764762159,2.78893091890835,6.18497428728929
assumption_debt_score,0.156297602540912,0.0800614573175594,1.95222030397181,0.0509120545935685,1.1691741005028,0.999377340131659,1.36781976376056
log_k,-0.644581798878865,0.0630391742195991,-10.2250990254638,1.53071429117109e-24,0.524882002456003,0.463875732576145,0.593911466271844
abs_estimate,-6.92493560173396,0.520172497301836,-13.3127676639076,1.95117635484174e-40,0.000982966417443395,0.000354616477892599,0.00272469847865935
tau2_capped,1.93533914398502,0.192448636777419,10.0563931051555,8.60950050122445e-24,6.92639270151379,4.74997718986475,10.1000307870846
