term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.69521711039742,0.204910541106116,3.39278353687715,0.000691862878292301,2.00414414724229,1.34123717082627,2.99469314621747
mean_score,0.240175283813143,0.109377557716347,2.19583695986337,0.0281036151892187,1.27147199925026,1.02613084790592,1.57547260973259
mean_log_k,-0.488484031195747,0.0573393521647436,-8.51917597171776,1.60692528081702e-17,0.613555820999693,0.548334837420381,0.68653443077519
mean_abs_estimate,-1.32545799058654,0.167314125815231,-7.92197302008007,2.33771044054884e-15,0.265681251708334,0.191399257901318,0.368792064730471
mean_tau2_capped,1.25229223201565,0.172303985557555,7.26792376835266,3.6505468787345e-13,3.49835281004759,2.49571789260351,4.90378837281197
