term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),-3.372239135121,0.710828165290619,-4.74409892543056,2.09436487553778e-06,0.0343127204445001,0.00851894868877628,0.138205173820754
assumption_debt_score,1.40042907563771,0.293437647678507,4.77249285058347,1.81959569725507e-06,4.056940327703,2.28254554249403,7.21070599299377
log_k,-1.88355649415718,0.401565736279733,-4.69053089939197,2.7249707171475e-06,0.152048383823766,0.0692089328497494,0.334042298753677
abs_estimate,-1.18743658131797,0.418593223472375,-2.83673149667301,0.00455779236289175,0.305002110929615,0.13427312605329,0.692813896613991
tau2_capped,0.887876129797699,0.1978022405454,4.48870613067657,7.16570663343484e-06,2.42996324031998,1.64902423182286,3.5807365564175
