n_datasets_excluded,n_meta_retained,pct_meta_retained,OR,OR_low,OR_high,p,OR_cluster,OR_cluster_low,OR_cluster_high,p_cluster
5,4143,0.936482820976492,1.14324820293545,1.02079347059081,1.28039264667188,0.0205559269567112,1.14324820293545,1.00841127045332,1.29611448405132,0.0365445100923707
10,3967,0.896699819168174,1.15763977313043,1.03003207561234,1.30105641956516,0.0140269688881633,1.15763977313043,1.01769547405703,1.31682794951526,0.0259582304801302
20,3688,0.833634719710669,1.19161598715588,1.05497853563213,1.34595028513511,0.00478265701261379,1.19161598715588,1.04553234807632,1.3581106920872,0.00860672952241357
30,3461,0.782323688969259,1.21110193613838,1.0660090194683,1.37594323587406,0.00326307845479479,1.21110193613838,1.05840675179423,1.38582628770238,0.00534335371714643
40,3250,0.734629294755877,1.22201136816427,1.06978706881945,1.39589627454614,0.00313832525545904,1.22201136816427,1.06171926468585,1.40650342665163,0.00519279194368744
