measure,reference_measure,beta,se,OR,OR_low,OR_high,p
OR,OR,0.136209870905752,0.0622831419142883,1.14592236412458,1.01423528298361,1.29470753643865,0.0287464629915358
GIV,OR,-0.982848935122465,0.924039936612513,0.374243383528043,0.0611780257151033,2.28935321918931,0.287490295803162
SMD,OR,0.340309989570512,0.403604110399294,1.40538317717395,0.63714751863164,3.09991299805317,0.399129062641058
