review_id,analysis_number,analysis_name,k,total_N,total_cases,beta,lambda,r2
CD000402_pub5,2,Endometrial hyperplasia at 1 year (moderate-dose estrogen),10,1721.0,10.0,0.8481790136246731,0.021878412745872707,0.1330220615024913
CD000402_pub5,3,Endometrial cancer at 1 year,14,5403.0,3.0,0.18118009471251761,0.29499044845911937,0.8637105874153791
CD000402_pub5,3,Endometrial cancer at 1 year&nbsp;,5,837.0,1.0,0.0,1.0,1.0
CD000402_pub5,4,Endometrial cancer at &gt; 1 year,23,11070.0,31.0,1.6553678695728946,6.429077267511235e-06,0.9478504577889746
CD000402_pub5,5,Adherence to therapy,13,4639.0,3443.0,1.0056130301946817,0.6741293079625543,0.00528345484096826
CD000402_pub5,5,Adherence to therapy&nbsp;,4,800.0,478.0,1.0894460448231897,0.3220735573918884,0.2178434166009714
CD000402_pub5,6,Additional investigations (endometrial biopsy),3,149.0,102.0,0.9266288526924439,0.9801505770713805,0.96913409657934
CD000402_pub5,6,Additional investigations (unscheduled biopsy),3,358.0,167.0,0.621993273559336,3.70397581062067,0.5041369280402643
CD000402_pub5,6,Adherence to therapy (moderate-dose estrogen),3,334.0,286.0,1.0566963064657038,0.617254585023348,0.8468666194056194
CD000402_pub5,6,Withdrawal due to adverse events,10,908.0,174.0,1.0590675931023101,0.14268044405387306,0.0523391290534565
CD000402_pub5,7,Withdrawal due to adverse events,6,454.0,65.0,1.211143325806951,0.03849703264752944,0.7679144632244036
CD000402_pub5,7,Withdrawal due to adverse events&nbsp;,19,4025.0,598.0,0.9937385693319476,0.20737191520535858,0.0015418373417982467
CD000402_pub5,7,Withdrawals due to adverse events,10,1170.0,194.0,0.9743526962660226,0.2373816317615088,0.004552038984629414
CD000402_pub5,9,Withdrawal due to adverse events (low-dose estrogen),3,606.0,81.0,0.7549256983510179,0.6541310225207677,0.9680361525299894
CD000402_pub5,9,Withdrawal due to adverse events (moderate-dose estrogen),4,592.0,70.0,0.6809198167581894,0.890273047813406,0.9617218388920228
CD000402_pub5,10,Withdrawal due to adverse events (moderate-dose estrogen),4,963.0,190.0,1.205564881135014,0.04493497390176508,0.7498705986653913
CD000478_pub5,1,Any adverse event,6,141.0,41.0,2.0286647249451533,0.0010194786472009416,0.5778972101653659
CD000478_pub5,1,Failure to maintain remission,13,268.0,109.0,0.7813031999363486,1.2618942320755262,0.8095437865247578
CD000478_pub5,1,Failure to maintain remission - all trials,13,268.0,110.0,0.7972873882670363,1.169999164085599,0.8169061963533477
CD000478_pub5,2,Withdrawal due to adverse event,6,141.0,21.0,2.2647200692594045,0.00021322614551057232,0.6389073340043627
CD000512_pub3,1,Death OR neurodevelopmental impairment at 18 to 26 months' postmenstrual age (trials adjusted for chronologic age and critical illness)&nbsp;,3,1533.0,752.0,0.8918554106822049,1.0420218283561107,0.7777476638903711
CD000512_pub3,2,Mortality by 18 to 26 months postmenstrual age&nbsp;,3,1604.0,227.0,0.7515510075390356,0.7968857300310054,0.7270642589129581
CD000512_pub3,4,Mortality at hospital discharge&nbsp;,6,1726.0,221.0,0.8126852607430137,0.4747593917413719,0.550637950918275
CD000512_pub3,5,Individual components of neurodevelopmental outcome in survivors at 18 to 26 months postmenstrual age (trials adjusted for chronologic age and critical illness),15,6479.0,821.0,0.7682854228224122,1.1829708057382249,0.6017116127488918
CD000512_pub3,6,Severe brain injury on ultrasound,6,1632.0,218.0,1.0743604279146681,0.0692701136149589,0.3587794690948195
CD000512_pub3,7,Necrotising enterocolitis&nbsp;,5,1716.0,148.0,1.3807349232495034,0.0060879819947565,0.7340802821549364
CD000512_pub3,8,Bronchopulmonary dysplasia (oxygen at 36 weeks' postmenstrual age),6,1540.0,699.0,1.3452934431702122,0.04815116770603872,0.6977813838393896
CD000512_pub3,9,Retinopathy of prematurity (stage 3 or greater)&nbsp;,6,1541.0,236.0,1.4136250693349433,0.00969128980532464,0.6119577275195047
CD000547_pub3,4,Frequency of blood transfusions,4,65.0,9.0,1.0889428643633499,0.1173800383566247,0.015939902958786223
CD000547_pub3,5,Frequency of blood transfusions,6,293.0,17.0,1.178484683206682,0.024408158576986565,0.24174380614514623
CD000547_pub3,5,Postoperative morbidity (complications),5,94.0,15.0,0.5655981098318826,1.2654834139145787,0.8878141006501137
CD000547_pub3,6,Postoperative morbidity (complications),7,398.0,47.0,1.1162101231658308,0.07035132045997056,0.10772631911951935
CD000547_pub3,6,Serious adverse events,9,1257.0,7.0,0.4397286388406242,0.24620541567316231,0.8969624746891665
CD000547_pub3,7,Other adverse events,48,3360.0,167.0,0.591241677016898,1.606638009140082,0.8819239978646641
CD000547_pub3,7,Proportion with individual complications,6,720.0,16.0,0.8235169858352128,0.07730543768467099,0.4305487662463815
CD000547_pub3,7,Total frequency of adverse events,5,434.0,352.0,0.9003848622170698,1.531121482391348,0.8284540647061522
CD000547_pub3,8,Individual adverse events,49,4809.0,879.0,0.7254270962689873,1.8044656885075083,0.9603752200783161
CD000547_pub3,8,Proportion with difficult surgery,5,348.0,115.0,0.91139691585828,0.5103678461280279,0.2184781940620938
CD000547_pub3,9,Proportion undergoing vaginal rather than abdominal procedure,3,195.0,80.0,0.47956034758865007,5.5291926269298,0.8415041415027202
CD000547_pub3,10,Adverse events,39,1961.0,359.0,0.7950401515327709,0.9125400615443433,0.6777429324536753
CD000547_pub3,10,Proportion with vertical incision,4,260.0,42.0,0.6134142812123946,1.4944856735125682,0.8010364174781496
CD001059_pub6,1,Pre-eclampsia,8,18672.0,683.0,1.0355615276834678,0.03141639097514023,0.022294369803035452
CD001059_pub6,2,Maternal death,5,15708.0,8.0,1.3912382209131098,1.132067877271624e-05,0.4921623806253932
CD001059_pub6,5,Eclampsia,3,6776.0,21.0,1.565166269010002,2.2012901146400826e-05,0.9873451934418608
CD001059_pub6,14,Pregnancy loss at any age or pre-eclampsia,3,6776.0,551.0,1.0463348090529707,0.054837590691756644,0.7780865909124124
CD001059_pub6,20,Any hypertensive disorder of pregnancy excluding chronic hypertension,4,7115.0,1182.0,1.2069161703114488,0.02904968480190011,0.654119286673937
CD001059_pub6,21,Gestational hypertension or pregnancy-induced hypertension,6,7367.0,873.0,1.2132827969989362,0.020353286592506285,0.8968811944419759
CD001059_pub6,23,Severe hypertension,3,6776.0,59.0,1.2317133877763922,0.0011620619915336484,0.9549082869210134
CD001059_pub6,31,Perinatal loss,6,14145.0,548.0,1.4050361312071633,0.000654921967023528,0.8318444031397751
CD001059_pub6,32,Preterm delivery at or before 37 weeks,8,17832.0,1824.0,1.1206576246917452,0.03289562938438438,0.7403454400908632
CD001059_pub6,34,Stillbirth,6,17612.0,405.0,1.6711138642921564,3.8434761627520266e-05,0.8978068856681451
CD001059_pub6,35,Neonatal death,4,6644.0,52.0,1.3493398741601221,0.00036208351695758624,0.9362081401014727
CD001059_pub6,36,Infant loss,3,12438.0,121.0,1.2403769533919478,0.0008113132478741027,0.3821292635082867
CD001059_pub6,37,Early preterm delivery &nbsp;at &lt; 34 weeks,4,6890.0,204.0,0.7205308768541696,0.3557122008165988,0.9792742434706526
CD001059_pub6,45,Small for gestational age,4,12812.0,2992.0,1.9325113896088277,4.247589894854986e-05,0.932161284947313
CD001059_pub6,54,Pre-eclampsia: sensitivity analysis - exclusion of small studies,4,7355.0,344.0,1.2371541554094303,0.006487316681373375,0.6055376558931336
CD001059_pub6,55,Preterm delivery &lt; 37 weeks: sensitivity analysis - exclusion of small studies,4,7207.0,683.0,1.1689063956686456,0.022641975744238683,0.8285718629658818
CD001059_pub6,56,Any hypertensive disorder of pregnancy excluding chronic hypertension: sensitivity analysis - exclusion of small studies,3,7025.0,1179.0,1.2396353364865227,0.023259301447930116,0.6966725530301913
CD001059_pub6,57,Gestational hypertension or pregnancy-induced hypertension: sensitivity analysis - exclusion of small studies,3,7025.0,835.0,1.2212576436080698,0.019112263554050365,0.7059038521613537
CD001059_pub6,58,Pre-eclampsia: subgroup analysis - high-risk versus low-risk populations,6,7672.0,354.0,1.2000796870053287,0.008969182533609555,0.43053507418552495
CD001059_pub6,59,Pre-eclampsia: subgroup analysis - high-intake versus low-intake populations,6,7672.0,354.0,1.2000796870053287,0.008969182533609555,0.43053507418552495
CD001059_pub6,60,Pre-eclampsia: subgroup analysis - high-dose versus low-dose calcium&nbsp;,6,7672.0,354.0,1.2000796870053287,0.008969182533609555,0.43053507418552495
CD001059_pub6,64,Perinatal loss: subgroup analysis - high risk versus low risk,4,3410.0,53.0,1.16784642125898,0.00370372772783069,0.8680037421371894
CD001059_pub6,65,Perinatal loss: subgroup analysis - high-intake versus low-intake populations,4,3410.0,53.0,1.16784642125898,0.00370372772783069,0.8680037421371894
CD001059_pub6,66,Perinatal loss: subgroup analysis - high dose versus low dose,4,3410.0,53.0,1.16784642125898,0.00370372772783069,0.8680037421371894
CD001059_pub6,67,Preterm delivery &lt; 37 weeks: subgroup analysis - high risk versus low risk,6,7528.0,700.0,1.1459665826685796,0.027035934943832014,0.7202158210742264
CD001059_pub6,68,Preterm delivery &lt; 37 weeks: subgroup analysis - high intake versus low intake population,6,7528.0,700.0,1.1459665826685796,0.027035934943832014,0.7202158210742264
CD001059_pub6,69,Preterm delivery &lt; 37 weeks: subgroup analysis - high dose versus low dose,6,7528.0,700.0,1.1459665826685796,0.027035934943832014,0.7202158210742264
CD001059_pub6,70,Stillbirth: subgroup analysis - high versus low risk,4,7033.0,130.0,1.9884447088514818,2.937440322289304e-06,0.9927504974908907
CD001059_pub6,71,Stillbirth: subgroup analysis - high versus low intake population,4,7033.0,130.0,1.9884447088514818,2.937440322289304e-06,0.9927504974908907
CD001059_pub6,72,Stillbirth: subgroup analysis - high dose versus low dose,4,7033.0,130.0,1.9884447088514818,2.937440322289304e-06,0.9927504974908907
CD001059_pub6,73,Neonatal death: subgroup analysis - high risk versus low risk,4,6644.0,52.0,1.3493398741601221,0.00036208351695758624,0.9362081401014727
CD001059_pub6,74,Neonatal death: subgroup analysis - high-intake versus low-intake population,4,6644.0,52.0,1.3493398741601221,0.00036208351695758624,0.9362081401014727
CD001059_pub6,75,Neonatal death: subgroup analysis - high dose versus low dose,4,6644.0,52.0,1.3493398741601221,0.00036208351695758624,0.9362081401014727
CD001125_pub2,24,Side effects,6,95.0,11.0,1.8952852754394858,0.003121847303577728,0.45286286677485676
CD001125_pub2,25,Withdrawals during treatment,3,66.0,11.0,2.6530659370167786,0.000180330754868458,0.9375461957329568
CD001155_pub3,1,"Alendronate 5 mg/day vs Alendronate 35 mg/week, Primary",6,2166.0,130.0,1.5369727330077305,0.0015059880966742198,0.44453917307693014
CD001155_pub3,1,"Alendronate vs Other active agent, Primary",109,9903.0,569.0,1.0744157712773463,0.03897168919154901,0.04620785273290029
CD001155_pub3,1,"Alendronate vs Other active agent, Secondary",4,1167.0,32.0,0.6269148059327319,0.371168311927063,0.7404716916449775
CD001155_pub3,1,Clinical vertebral fractures,48,17030.0,263.0,0.833439523407917,0.08984659700600998,0.5027870293519205
CD001155_pub3,1,Non-vertebral fractures,7,3060.0,297.0,1.0478770502401806,0.07144279785043303,0.3220198121333103
CD001155_pub3,2,"Alendronate vs Other active agent, Secondary",404,79905.0,3353.0,1.0379107995049863,0.031126815100285008,0.017763701995349157
CD001155_pub3,2,Hip fractures,3,2698.0,19.0,-9.687806112879116e-13,19.000000000143604,1.0
CD001155_pub3,2,Non-vertebral fractures,69,35391.0,3110.0,0.8818724982369728,0.33503620433692055,0.5613993479241219
CD001155_pub3,3,Hip fractures,68,33417.0,260.0,0.8779006872359701,0.029972631928437847,0.657342358359593
CD001155_pub3,3,Radiographic vertebral fractures,5,702.0,32.0,1.209679194135665,0.011760626555921262,0.9864836710056326
CD001155_pub3,4,Radiographic vertebral fractures,14,4553.0,211.0,1.2786704963639248,0.00472721867390188,0.5952409792176281
CD001155_pub3,4,Wrist fractures,56,27378.0,707.0,1.0927131408244717,0.010820614950763991,0.4435038919790404
CD001155_pub3,5,Radiographic vertebral fractures,26,20959.0,846.0,0.8754931852333342,0.16037018065034342,0.20293617252893104
CD001155_pub3,5,Withdrawals due to adverse events,6,1050.0,68.0,0.7292593622811168,0.4910822266931633,0.906417092973216
CD001155_pub3,6,Serious adverse events,6,1329.0,111.0,0.580821303554038,1.5544384415858683,0.9557600777641339
CD001155_pub3,6,Withdrawals due to adverse events,29,6549.0,575.0,1.2180048014180322,0.0135653560509355,0.8950363199203194
CD001155_pub3,7,Gastrointestinal adverse events,4,767.0,231.0,0.9064583545861074,0.5585733447709021,0.9983289354231062
CD001155_pub3,7,Serious adverse events,14,2499.0,214.0,1.3204164773615803,0.007390084548568569,0.5621060089512286
CD001155_pub3,8,Gastrointestinal adverse events,17,5140.0,1999.0,1.221492683575722,0.06821739794818985,0.8117750503845417
CD001321_pub7,1,Symptomatic UTI: culture-verified UTI,66,6903.0,1413.0,1.0928533981450541,0.10917372506785367,0.3481923939953644
CD001321_pub7,1,Symptomatic UTI: culture-verified UTI (commercial involvement),13,1607.0,274.0,0.882001726626157,0.41141338770662894,0.15518438402475532
CD001321_pub7,1,Symptomatic UTI: culture-verified UTI (low dose PAC < 40 mg/day),6,742.0,127.0,1.1427621349533938,0.07349927085731964,0.3164752553106084
CD001321_pub7,1,Symptomatic UTI: culture-verified UTI (⪰ 108 CFU/L),18,2159.0,360.0,0.9619277248167312,0.2592559530508206,0.06783969383072475
CD001321_pub7,2,"Clinical UTI: symptoms, no culture",10,1803.0,536.0,0.8885602567374569,0.7753189563038926,0.34834087225972166
CD001321_pub7,2,Symptomatic UTI: culture-verified UTI (< 108 CFU/L),3,416.0,41.0,2.216297534722253,6.412293287454925e-05,0.9997190214876485
CD001321_pub7,2,Symptomatic UTI: culture-verified UTI (moderate dose PAC 40 to 80 mg/day),4,233.0,18.0,0.9472084397327886,0.10054057851720195,0.053006373325053535
CD001321_pub7,2,Symptomatic UTI: culture-verified UTI (no commercial involvement),12,1362.0,173.0,1.0593635891545383,0.07219987861830379,0.014702257728564705
CD001321_pub7,3,Microbiological UTI: positive culture without known symptoms,5,274.0,108.0,1.6133214404639933,0.011953656553833803,0.969533867830418
CD001321_pub7,4,Death,4,779.0,170.0,2.941929418787935,6.423180185309238e-07,0.9801344103504676
CD001321_pub7,5,Gastrointestinal adverse events,10,1141.0,56.0,0.8521610335553076,0.14848427321167226,0.09601842764981883
CD001396_pub4,1,Response rate,3,134.0,77.0,0.7462512674458996,1.817058384959016,0.8283524170846926
CD001396_pub4,2,Nausea,28,2327.0,472.0,1.0762406554149329,0.09912964168178272,0.2692559239919956
CD001396_pub4,2,Response rates,28,2030.0,1214.0,0.9299505003563073,0.9325605567978726,0.556558994377531
CD001396_pub4,3,Insomnia or sleep disturbance,29,2354.0,257.0,0.8904145435335851,0.2556310294303175,0.4999718526202762
CD001396_pub4,4,Sexual dysfunction or decreased libido,23,1786.0,171.0,0.9003553249013246,0.1810560947252453,0.5096680360861031
CD001396_pub4,5,Fatigue or sedation,14,742.0,118.0,1.0065449395094306,0.1630213734817948,0.0011413863717826267
CD001396_pub4,6,Dizziness or vertigo,21,1680.0,144.0,1.0303576469928712,0.07115493096857349,0.028811573021990777
CD001396_pub4,7,Tremor,8,900.0,60.0,1.0153134542626339,0.06792733396851193,0.0018620685148484917
CD001396_pub4,8,Somnolence/decreased concentration,14,1302.0,137.0,0.9276397846307041,0.15462122582700644,0.09988255568562443
CD001396_pub4,9,Sweating,16,1470.0,116.0,0.8585294051447879,0.21750000305241965,0.7912707458634146
CD001396_pub4,10,Dry mouth,16,1057.0,111.0,1.0639538408322213,0.06329879825182678,0.13050511351852845
CD001396_pub4,11,Asthenia/decreased energy,13,1127.0,175.0,1.083165683682787,0.08620616495857808,0.5368244796446986
CD001396_pub4,12,Diarrhoea,19,1678.0,116.0,1.082521648660828,0.0319312177434339,0.3668044916871074
CD001396_pub4,13,Constipation,10,648.0,36.0,0.6331024188042598,0.5901462821723433,0.9734224447692489
CD001396_pub4,14,Withdrawal due to adverse effects,26,2100.0,229.0,0.92563849271654,0.21851169232580966,0.15897454823157264
CD001396_pub4,19,Response rates,30,2142.0,1267.0,0.9317109662590077,0.9145255221328193,0.5391490992291004
CD001396_pub4,20,Withdrawal for any reason,18,995.0,226.0,1.1029693528057838,0.11217640250046128,0.5841940909628325
CD001431_pub6,1,Accurate risk perceptions - all studies,25,3937.0,1810.0,0.8627422205660209,1.5255031560962036,0.929149804914343
CD001431_pub6,1,Choice: surgery over conservative option (subgroup by condition),38,4212.0,2090.0,1.3022304751241385,0.03997193075520902,0.7578244830456614
CD001431_pub6,1,Informed values-choice congruence - all studies,22,4860.0,2199.0,0.8511103457946576,1.6303532381546118,0.8077664958483285
CD001431_pub6,1,Participation in decision-making - all studies,61,6506.0,2217.0,1.0768133758735854,0.17963259837850643,0.2699863059095887
CD001431_pub6,1,Proportion undecided - all studies,42,4381.0,725.0,1.668685195029391,0.0007682689282614618,0.805758504565178
CD001431_pub6,2,Accurate risk perceptions - studies without high risk of bias,20,3126.0,1554.0,0.865427446872389,1.4641170294455268,0.9418492617491042
CD001431_pub6,2,Choice for screening,43,22215.0,9164.0,0.9694093708108069,0.5361792886546732,0.16954004441962311
CD001431_pub6,2,Discussed topic with provider,11,2027.0,1391.0,1.1291199155943417,0.2478045223677403,0.6514510380089913
CD001431_pub6,2,Informed values-choice congruence - without studies of high risk of bias,18,3810.0,1797.0,0.845110149366965,1.7256866150707815,0.8174554680795207
CD001431_pub6,2,Participation in decision-making - studies without high risk of bias,48,4546.0,1526.0,1.07013062310082,0.19657215167861003,0.19772996488742112
CD001431_pub6,2,Proportion undecided - studies without high risk of bias,37,3911.0,670.0,1.2911913327304265,0.016353433104692283,0.48759549058547624
CD001431_pub6,3,Accurate risk perceptions - old vs new studies,25,3937.0,1810.0,0.8636562783151197,1.5154101812574607,0.9256644399422898
CD001431_pub6,3,Choice: diabetes medication (uptake of new medication),6,662.0,305.0,1.0633409225615005,0.21439314551736502,0.05876502805322292
CD001431_pub6,3,Informed values-choice congruence - old vs new studies,22,4860.0,2199.0,0.8485583916277023,1.6554772586621604,0.8257846730243397
CD001431_pub6,3,Participation in decision-making - clinician-controlled - old vs new studies,21,2354.0,353.0,1.0569137443430114,0.09510677092985355,0.2346221705247894
CD001431_pub6,3,Proportion undecided - old vs new studies,42,4381.0,725.0,1.6422246179833209,0.0009465110057066152,0.809127474193539
CD001431_pub6,4,Choice: surgery over conservative option - studies without high risk of bias,32,3552.0,1815.0,1.3398166639588478,0.03089690309980715,0.775045597185149
CD001431_pub6,4,Discussed topic with provider - studies without high risk of bias,10,1707.0,1106.0,1.1251815808153385,0.25303454718929735,0.6088183421051185
CD001431_pub6,4,Informed values-chose congruence - using MMIC,13,3203.0,1640.0,0.8411781982523422,1.7713740336812007,0.7945366295837798
CD001431_pub6,4,Participation in decision-making - patient-controlled - old vs new studies,20,2021.0,1103.0,1.032172016427041,0.4273631535713254,0.08242034120757458
CD001431_pub6,5,Choice for screening - studies without high risk of bias,38,13347.0,5290.0,0.9425064378522535,0.6361442307954263,0.2752846645439537
CD001431_pub6,5,Informed values-chose congruence - using non-MMIC measures,9,1637.0,559.0,0.8721652561646867,0.8969247901197617,0.8457554557511162
CD001431_pub6,5,Participation in decision-making - shared decision-making - old vs new studies,20,2131.0,761.0,0.9689769735191174,0.4102629083624595,0.054845798504822296
CD001431_pub6,6,Choice: diabetes medication (uptake of new medication) - studies without high risk of bias,4,243.0,49.0,0.8021643564216139,0.6177613657158988,0.6973372123236212
CD001533_pub7,1,Number with frequent relapses by 12 to 24 months,14,826.0,295.0,1.203676363491287,0.09381256787973109,0.518834841663425
CD001533_pub7,1,Number with relapse,3,105.0,54.0,0.9747400181075948,0.6122705146401197,0.05759419237698804
CD001533_pub7,1,Number with relapse with infection,7,301.0,120.0,1.2222843637147838,0.11071801870506312,0.9450240208753937
CD001533_pub7,1,Number with relapses,4,152.0,59.0,3.3371372022365726,3.9750955711095785e-06,0.9476220110876564
CD001533_pub7,2,Adverse events,9,316.0,40.0,0.6366591469064344,0.8948298018171781,0.43945712999397635
CD001533_pub7,2,Number relapsing by 12 to 24 months,21,1128.0,600.0,1.0319793900349103,0.3898119824348466,0.05732399176742442
CD001533_pub7,2,Number with relapse,5,118.0,75.0,0.9772682045956574,0.7772813984716789,0.02336072698751368
CD001533_pub7,3,Adverse events,6,204.0,17.0,0.7945621483256204,0.30167264873611266,0.3063236048062695
CD001533_pub7,3,Number with frequent relapses by 12 to 24 months: stratified by risk of selection bias,8,469.0,186.0,1.3193905721541166,0.05891670431263323,0.6640695797846822
CD001533_pub7,3,Number with frequent relapses: stratified by risk of selection bias,6,357.0,109.0,1.6523803872840315,0.007097118952331221,0.8435480198285628
CD001533_pub7,4,Number relapsing by 12 to 24 months: stratified by risk of selection bias,20,1097.0,575.0,1.0992522360524164,0.24083767714791343,0.6420731862555827
CD001533_pub7,5,Adverse events,66,3664.0,616.0,1.2241385650205692,0.022808371806391097,0.32025036142665475
CD001552_pub3,1,Clinical improvement at short-term follow-up: 3 months or less,5,194.0,126.0,0.7728685310299062,2.123242247172352,0.9749882005362362
CD001552_pub3,2,Clinical improvement at long-term follow-up: over 3 months,7,201.0,167.0,0.9478464246190504,1.1437387353586062,0.7967742152775334
CD001703_pub4,25,Non-specific low back pain and spine-related leg pain: total adverse events,18,1160.0,724.0,0.8760988863417798,1.4972424512112232,0.9587051699045743
CD001703_pub4,26,Non-specific low back pain and spine-related leg pain: serious adverse events,10,936.0,23.0,0.5655629916608171,0.41441747888737734,0.8863863260335973
CD001703_pub4,27,Non-specific low back pain and spine-related leg pain: withdrawals due to adverse events,22,1358.0,190.0,1.218189577749036,0.03636236273281996,0.4940268958855458
CD001797_pub4,1,Significant improvement in disability within 6 weeks,7,181.0,92.0,1.2337761240588008,0.1667244483321063,0.6723378834689533
CD001797_pub4,3,Improvement ≥ 1 point on Rankin scale,3,50.0,16.0,1.1891119776414518,0.14837855284764193,0.6202815675455919
CD001797_pub4,9,Frequency of serious side effects,3,172.0,10.0,1.2767098774949104,0.015863769717425237,0.42549092685778966
CD001797_pub4,10,Frequency of any side effects,3,167.0,82.0,2.2411557986528114,0.0011819744469760104,0.7449095086857779
CD001837_pub4,1,Behavioural support,10,1947.0,521.0,0.8507056388195363,0.7913728679182561,0.9462509073580971
CD001837_pub4,1,Patients with cardiovascular disease,31,3912.0,1403.0,0.8617581235961456,1.0528941460619912,0.7798885997786625
CD001837_pub4,1,Quit at longest follow-up (6 + months),65,11938.0,2759.0,0.8498390407890748,0.8020995884281245,0.6136537483397988
CD001837_pub4,2,Bupropion vs placebo or no bupropion,4,432.0,105.0,1.1853350084636392,0.0788741395984465,0.7643397332657706
