review_id,analysis_number,analysis_name,k,total_N,total_cases,beta,lambda,r2
CD000028_pub4,1,All-cause mortality,34,27971.0,2501.0,0.7767316000649727,0.7405777124297838,0.6253378204869131
CD000028_pub4,2,Cardiovascular morbidity and mortality,6,5206.0,437.0,1.0803207743342782,0.045980674083373245,0.22650294930503823
CD000028_pub4,2,Cardiovascular mortality and morbidity,14,10993.0,1010.0,0.8268553650373194,0.4055778208982868,0.4355968670946403
CD000028_pub4,2,Cause of cardiovascular mortality,19,21849.0,393.0,0.8820284853116924,0.05243387167559465,0.4319916248661687
CD000028_pub4,3,Cardiovascular mortality and morbidity,14,11845.0,1174.0,0.8167060371864068,0.5387444314860966,0.815354646340779
CD000028_pub4,3,Cerebrovascular morbidity and mortality,6,5206.0,161.0,1.0930550074487781,0.01547663733677482,0.18235243856353467
CD000028_pub4,3,Cerebrovascular mortality and morbidity,14,10993.0,375.0,0.6988404124656191,0.4405857678755566,0.5728911534471057
CD000028_pub4,4,Cerebrovascular mortality and morbidity,12,11491.0,402.0,0.7500844498303921,0.3126504688503384,0.6264749589980596
CD000028_pub4,4,Coronary heart disease morbidity and mortality,6,5206.0,177.0,0.9994579061939448,0.03625387355011387,2.1571541943488093e-05
CD000028_pub4,4,Coronary heart disease mortality and morbidity,12,10035.0,412.0,1.0618486365101352,0.024618867686641083,0.18042517014116755
CD000028_pub4,5,Coronary heart disease mortality and morbidity,10,10533.0,447.0,0.8251115044109132,0.17769541203776174,0.6375006994285426
CD000028_pub4,6,Withdrawal due to adverse effects,4,5803.0,865.0,1.896937582816726,7.071588560227736e-05,0.9740586319967924
CD000143_pub2,1,Extubation failure,47,1634.0,454.0,1.2644961447811842,0.04616793813456942,0.75021162112531
CD000143_pub2,2,Endotracheal reintubation,23,927.0,257.0,1.2126373714893237,0.07175783297733586,0.6844160472782237
CD000143_pub2,4,Oxygen dependency at 28 days,5,216.0,92.0,1.0628432619335497,0.2870024140405545,0.13233744341441167
CD000214_pub3,1,Smoking abstinence at longest follow-up,77,34099.0,2257.0,0.9225202241574316,0.11949856035446325,0.1263443789297447
CD000214_pub3,2,Quit attempts,19,9080.0,793.0,0.8339661189098662,0.24664686548849482,0.23907309814692412
CD000219_pub5,1,Pain,27,3455.0,773.0,0.929173380378854,0.3561398239225613,0.16822103753874962
CD000219_pub5,2,"Vomiting, diarrhoea or rash",11,1500.0,384.0,1.7716879195531332,0.001039682771967129,0.6620171051367336
CD000219_pub5,3,Abnormal tympanometry,13,1959.0,737.0,1.128869335247435,0.15805085976409486,0.7560694302037612
CD000219_pub5,4,Tympanic membrane perforation,7,813.0,11.0,0.17060847671168278,3.0338694623480635,0.9817567490035541
CD000219_pub5,5,Contralateral otitis (in unilateral cases),4,453.0,48.0,1.706241764262225,0.001396917549821357,0.6318191374746218
CD000219_pub5,6,Late AOM recurrences,6,1138.0,208.0,0.9409863193356887,0.2592237316483714,0.05696276663249433
CD000247_pub4,1,Persistent rhinitis (purulent),4,394.0,155.0,1.0960120584427,0.13065034881853732,0.022557242376524678
CD000247_pub4,1,Persisting symptoms 1 to 7 days,6,664.0,168.0,0.7260941045621168,0.9349939680976149,0.2590518955083102
CD000247_pub4,2,Persistent purulent rhinitis with Herne added as purulent,5,440.0,158.0,0.9975889494459746,0.17678707639770175,1.1931748107207873e-05
CD000247_pub4,2,Persisting symptoms day 1 to 7 with Herne out,5,618.0,161.0,0.7811837340599653,0.7127337742141986,0.1727091449647694
CD000247_pub4,3,Persistent purulent rhinitis with currently available medication,4,368.0,146.0,2.9911269007133017,3.464472863306494e-06,0.8996709489656616
CD000247_pub4,3,Persisting symptoms days 1 to 7 in adults,4,489.0,149.0,0.9565069916517828,0.2990490216824565,0.006416455671360732
CD000247_pub4,4,Adverse effects for purulent rhinitis studies,3,354.0,87.0,1.243749499120199,0.05810396625713788,0.8013904126401634
CD000247_pub4,5,Persisting symptoms day 1 to 7 with Hoagland and McKerrow out,3,449.0,117.0,2.7524978745172994,4.552433472674493e-06,0.8317077752802691
CD000247_pub4,6,Persisting symptoms 1 to 7 days with Kaiser out,5,518.0,71.0,0.4277960858922788,4.6331770165458845,0.9696586506317377
CD000247_pub4,7,Adverse effects,5,515.0,124.0,1.0348440258498646,0.1735893131562064,0.24415830654918735
CD000247_pub4,8,Adverse effects in adults,3,363.0,96.0,1.0811209550542582,0.1588160185294435,0.9243717046826103
CD000247_pub4,10,Adverse effects with McKerrow out,3,298.0,62.0,1.079388113753485,0.13088623858269416,0.311264978652958
CD000402_pub5,1,Endometrial hyperplasia at 1 year,51,11545.0,594.0,0.7086434594035818,1.1137382212346685,0.8802145731826894
CD000402_pub5,1,Endometrial hyperplasia at 1 year (low-dose estrogen),4,866.0,17.0,0.05100123624305142,12.160975404315106,0.9992634077078634
CD000402_pub5,1,Endometrial hyperplasia at 1 year&nbsp;,5,832.0,29.0,1.120902265008137,0.012357487568943162,0.05770772776213218
CD000402_pub5,2,Endometrial hyperplasia at &gt; 1 year,50,4901.0,490.0,1.0161701685813904,0.1271589510273153,0.003411527333361253
