term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),-2.16933226013905,0.230501377747421,-9.41136352996625,4.89741834100821e-21,0.114253883317102,0.0727217357445006,0.179505476861848
assumption_debt_score,0.259778527369924,0.0944347619935447,2.75087819237245,0.00594357394836127,1.2966428839534,1.07754617279825,1.56028837645156
log_k,-0.125190330449424,0.0646652817514596,-1.93597440633741,0.0528708356575137,0.882328952536023,0.777295818186746,1.00155482927901
abs_estimate,0.889562053584769,0.148632027348481,5.98499576069908,2.16395497570784e-09,2.43406342847974,1.81892065776129,3.25724200700132
tau2_capped,0.305627905690268,0.113833418347134,2.68486978716794,0.00725580684355545,1.35747710305641,1.08601431815529,1.69679538705578
