term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.893362063066547,0.130592163960117,6.84085504042481,7.87218849592112e-12,2.44333048889452,1.89155912280893,3.15605460383198
assumption_debt_score,0.14081167974667,0.055846675478885,2.52139771148794,0.0116889654346351,1.15120783181942,1.03184885273828,1.28437364496303
log_k,-0.526783120519673,0.0418455288349409,-12.5887552430646,2.43482585949155e-36,0.59050148973007,0.544003087257741,0.640974320809739
abs_estimate,-1.33840973672471,0.10471948246466,-12.7809048060983,2.09616654692347e-37,0.26226240340208,0.213597917312037,0.322014227028978
tau2_capped,1.04927992886375,0.0983549640214341,10.6682966061081,1.43227940271922e-26,2.85559414664734,2.35491397792709,3.46272433167366
