term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),1.42389059388968,0.168323573428254,8.4592464673203,2.69110736131913e-17,4.15324764762159,2.98612449148303,5.77653948175064
assumption_debt_score,0.156297602540912,0.0720286982709627,2.16993512714808,0.0300117607828679,1.1691741005028,1.0152362600503,1.34645316669325
log_k,-0.644581798878865,0.0545276356146327,-11.8211947320505,3.03339574809668e-32,0.524882002456003,0.47167930414878,0.584085657519804
abs_estimate,-6.92493560173396,0.313539743884545,-22.0863087911558,4.27970113514502e-108,0.000982966417443395,0.000531677476445526,0.00181731034438601
tau2_capped,1.93533914398502,0.151953052531293,12.7364282042736,3.70994397942926e-37,6.92639270151379,5.14235507856885,9.32936662727212
