term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.368690478514967,0.0776305047249049,4.74929900071468,2.04122959925335e-06,1.44584001586046,1.24176616054864,1.68345169797489
assumption_debt_score,0.145081251781482,0.0297251731348697,4.88075380160838,1.05681108837669e-06,1.15613350435867,1.09070024048256,1.2254922391044
log_k,-0.330367003016615,0.0263604802150941,-12.5326625433571,4.94734044875012e-36,0.718659934663474,0.682472159812728,0.7567665497626
abs_estimate,-0.752805994262764,0.0697079444675997,-10.799428960535,3.46350863630294e-27,0.471042952779509,0.410888428262991,0.540004166827553
tau2_capped,0.404931484114541,0.0304237702786338,13.3097075216519,2.03275923114022e-40,1.49919977753751,1.41241484340813,1.591317156895
