term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.248164199256586,0.181239603653391,1.3692603286155,0.170917914020293,1.28167036423815,0.898466889855811,1.82831325351341
assumption_debt_score,0.333596432638777,0.0720631247516299,4.62922519372479,3.67036452468168e-06,1.39597965805305,1.21209795837836,1.60775718845786
log_k,-0.541031717858557,0.0573963664656256,-9.42623638349263,4.25067778181004e-21,0.582147330639119,0.520206934227113,0.651462893461348
abs_estimate,-1.2530189065707,0.145354160119598,-8.62045438217737,6.66889479931894e-18,0.285641169906865,0.214828969009688,0.379794579482821
tau2_capped,0.62911627779154,0.088643013781642,7.09718962558367,1.27319315314576e-12,1.8759520260547,1.57676608958266,2.23190746383327
