term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.697689779673838,0.200375829548172,3.48190588279565,0.000497858643321251,2.00910586471583,1.35656145171354,2.97554259008087
score_within,0.0829325700756785,0.0611299035169305,1.35666122968294,0.174888876784851,1.0864685455864,0.963789816502905,1.22476278576147
score_between,0.302229587189301,0.125897740173886,2.40059580713578,0.0163684052791692,1.35287179308955,1.05703732286425,1.73150185802132
log_k,-0.507754829063651,0.0483398708361853,-10.5038515883573,8.29259592379434e-26,0.601845308653351,0.547440786362717,0.661656538152153
abs_estimate,-1.35762105018218,0.154651715214678,-8.77857092174902,1.65564868771858e-18,0.257272086911683,0.189998631020485,0.348365282151724
tau2_capped,1.03678201626352,0.138576146440969,7.4816773513411,7.33799247570356e-14,2.82012727317605,2.14936568685316,3.70021624777837
