term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.700435873948225,0.192139259637333,3.6454594197475,0.000266914533460518,2.01463064113414,1.38243014493118,2.93594337122806
assumption_debt_score,0.21691949646439,0.0809740707844888,2.6788760199758,0.00738697395737288,1.24224409307069,1.05993789599835,1.45590641922989
log_k,-0.529328990062105,0.0576796558116619,-9.17704834769635,4.43069383089141e-20,0.589000062003117,0.526038373515983,0.65949765360442
abs_estimate,-1.19110232490077,0.195760422352359,-6.08448996272011,1.16862722805831e-09,0.303886098156781,0.207050458881109,0.446010895855968
tau2_capped,1.13732093523737,0.170869778608494,6.65606840776247,2.81249389693838e-11,3.11840276123904,2.23092471330698,4.35892601991413
