term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),1.65263199183031,0.248387656711308,6.65343847480756,2.86323538170735e-11,5.2207026067455,3.20846357239844,8.49494940274626
sparse_k,-0.367500373194712,0.119976832062851,-3.06309448979443,0.00219060877825274,0.69246306838504,0.547356493467043,0.876038024213367
high_heterogeneity,0.546664895287093,0.119910777067191,4.55893047028438,5.141478847082e-06,1.72748206627193,1.36566265480655,2.18516211070725
small_study_signal,-0.0142311862977316,0.141864055264863,-0.100315659743137,0.920093725526992,0.9858695983724,0.74655593538919,1.3018969094235
dominance_signal,0.294810121781085,0.100089499047681,2.94546505463718,0.00322469571881279,1.34287135245634,1.103663061822,1.63392572572911
sparse_events_signal,-0.0250094255626524,0.110210350701676,-0.226924471280827,0.820482473050617,0.975300719226975,0.785824563643125,1.21046291619441
log_k,-0.747111287946855,0.0738920555754805,-10.1108472640023,4.94547156808203e-24,0.473733056463056,0.409859968906188,0.547560205464215
abs_estimate,-1.36171714968541,0.158659987954439,-8.58261220892338,9.27425918684663e-18,0.256220430160033,0.187741225194709,0.349677641462642
tau2_capped,0.844175510363887,0.148502667396937,5.68458146349295,1.31133404557321e-08,2.32605921203166,1.7386523163096,3.11192261219978
