term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.465441990605768,0.148175007519077,3.14116394119868,0.00169417414487969,1.59271799973027,1.19126882175824,2.12945271489663
assumption_debt_score,0.274217333566051,0.065168107910421,4.20784556063812,2.63062165533583e-05,1.31550067362542,1.15776085474776,1.49473184830208
log_k,-0.622639859763921,0.0489704175978116,-12.7146120108183,2.19199002643084e-36,0.536526212499942,0.487423522265136,0.59057547194645
abs_estimate,-1.34043278504707,0.112646738045768,-11.8994371989933,3.77783598854698e-32,0.261732370209012,0.209879779321128,0.326395586258039
tau2_capped,0.671068001016745,0.0913051067434,7.34973130147787,2.3635035830665e-13,1.95632556300534,1.63576402994021,2.33970770747907
