excluded_measure,n_meta,OR,OR_low,OR_high,p,OR_cluster,OR_cluster_low,OR_cluster_high,p_cluster
GIV,4402,1.15888276938101,1.03811886072728,1.29369509020125,0.00863177081212981,1.15888276938101,1.02822782304315,1.30613979029805,0.0156872021513111
OR,158,1.31353550081644,0.71347659522752,2.41826504673904,0.381129366269243,1.31353550081644,0.659831354686697,2.61487348191318,0.437521779737472
SMD,4288,1.1219345349324,1.00332683581835,1.25456337430397,0.0435640013887385,1.1219345349324,0.992790551726116,1.26787780009135,0.0651784437378124
