term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.893362063066547,0.153905245717613,5.80462387036304,6.45106540412336e-09,2.44333048889452,1.80707186554786,3.30361176651467
assumption_debt_score,0.14081167974667,0.0610921227707561,2.30490729999768,0.0211717656875211,1.15120783181942,1.02129468262976,1.29764650162466
log_k,-0.526783120519673,0.0478275025980724,-11.0142301375549,3.26314229737265e-28,0.59050148973007,0.537662077116889,0.64853376165793
abs_estimate,-1.33840973672471,0.153480588042339,-8.72038447204477,2.77258710750559e-18,0.26226240340208,0.194129136503364,0.354308320106516
tau2_capped,1.04927992886375,0.139097992151321,7.54345848301151,4.57668584841546e-14,2.85559414664734,2.1741719170388,3.75058562133981
