term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),1.16147558891426,0.145929204756519,7.95917164663624,1.73194837368224e-15,3.19464378082521,2.39996546481868,4.25245656071816
factor(assumption_debt_score)1,-0.156526839886072,0.0898451087323656,-1.74218543551815,0.0814760016621532,0.855108566378405,0.717040286049916,1.01976231254994
factor(assumption_debt_score)2,0.219463055186295,0.113910874536118,1.92662075574453,0.0540269100604811,1.24540783574529,0.996204960528943,1.55694936161755
factor(assumption_debt_score)3,1.02186764492099,0.460501134244555,2.21903393701158,0.0264844158058825,2.77837894667948,1.12669145470434,6.85137846667832
log_k,-0.565066771840023,0.0435321945826517,-12.9804338434436,1.57983156835675e-38,0.568322197571728,0.521842284762606,0.618942024599811
abs_estimate,-1.35995684990927,0.105785212749516,-12.8558313072494,7.97637192571813e-38,0.256671852128315,0.208608525555494,0.31580895123797
tau2_capped,1.02332372693628,0.0991993508058858,10.3158308862195,5.97621217393529e-25,2.78242744105004,2.29078143959937,3.37959018301729
