term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.889658238666476,0.154017740549619,5.77633612525215,7.63447870157373e-09,2.4342975603293,1.79999424412599,3.29212420070962
assumption_debt_score,0.135842276580683,0.0615066997433407,2.20857690540274,0.0272040831704414,1.14550120697879,1.01540662200608,1.29226359839713
log_k,-0.524871480628239,0.0478242664043085,-10.9750032795266,5.04040277785946e-28,0.591631395576242,0.538694293319839,0.649770588944536
abs_estimate,-1.33782626254717,0.153468589236416,-8.71726435489852,2.85004168921492e-18,0.262415471393471,0.194247007074191,0.354506772917002
tau2_capped,1.03822124983639,0.135186319891745,7.6799283438426,1.59177601249583e-14,2.82418901722544,2.16681004974346,3.68100729732222
measure_factorGIV,-0.00268170140120758,0.567143515259185,-0.00472843527088914,0.996227268559125,0.997321891147896,0.328150481315414,3.03108180910078
measure_factorSMD,0.186040232359539,0.302626187478703,0.614752589356238,0.538718123778053,1.20447071810182,0.665572906888369,2.17970066952867
