term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),-4.03633456911492,0.885113982708923,-4.56024268960431,5.25119590363402e-06,0.0176620930934789,0.00311614700310205,0.100107450685791
assumption_debt_score,1.69569914470899,0.317145435106633,5.34675564268755,9.41777398516447e-08,5.45045529040072,2.92733979814704,10.148279639918
log_k,-1.97790076292286,0.460135099397227,-4.29852181568824,1.75737604652481e-05,0.138359381807561,0.0561479247375103,0.340944364794688
abs_estimate,-1.16473095566386,0.412722650865145,-2.82206695761031,0.00479337289469405,0.312006594348431,0.138946355588559,0.700616540135593
tau2_capped,0.893431737563693,0.193261899029374,4.62290675011891,3.89467815990537e-06,2.44350073264845,1.67303344939536,3.56878449298867
