term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),-3.40504824425704,0.65867864045453,-5.16951368258631,2.34703951514828e-07,0.0332052180822711,0.0091311979786622,0.120749381457692
assumption_debt_score,1.3251953198743,0.258801953173525,5.12049968566414,3.04727125225891e-07,3.76292025633862,2.26583533360692,6.24916058353776
log_k,-1.80984528179879,0.373194126251145,-4.84960816500319,1.23705598150101e-06,0.163679459035226,0.0787634856765543,0.340144485480017
abs_estimate,-1.07447388301361,0.377298434504708,-2.8478090146971,0.00440213337086386,0.341477365091213,0.163004281012021,0.715360296954643
tau2_capped,0.797328525344161,0.163647527367022,4.87223081321569,1.10345146284474e-06,2.21960338683374,1.6105558561938,3.05896822882433
