term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),-4.03633456911492,0.872812128489209,-4.62451704939252,3.75472202399811e-06,0.0176620930934789,0.00319219554293232,0.0977225637487614
assumption_debt_score,1.69569914470899,0.348725485879314,4.86256156596433,1.15876320546742e-06,5.45045529040072,2.75164026092377,10.7962742421438
log_k,-1.97790076292286,0.431807330903463,-4.58051686798491,4.63828203648561e-06,0.138359381807561,0.0593535626757139,0.322530235274375
abs_estimate,-1.16473095566386,0.562761018289492,-2.06967241477395,0.0384830316649534,0.312006594348431,0.103545665449335,0.940146692712487
tau2_capped,0.893431737563693,0.202564884338228,4.41059535310132,1.03086798878646e-05,2.44350073264845,1.64280404319945,3.63445406356882
