term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),-3.40504824425704,0.90812034579354,-3.74955616844111,0.000179471028532721,0.0332052180822711,0.00560013753336931,0.196885612419561
assumption_debt_score,1.3251953198743,0.311873985844377,4.2491370874888,2.19128195289939e-05,3.76292025633862,2.04198486450061,6.9342183195008
log_k,-1.80984528179879,0.461767204834878,-3.9193889536741,9.01508309809874e-05,0.163679459035226,0.0662109777150761,0.404630262754208
abs_estimate,-1.07447388301361,0.479720259679308,-2.23979259023142,0.0251551640006034,0.341477365091213,0.133356992573145,0.874395774977299
tau2_capped,0.797328525344161,0.205917200394373,3.8720831665209,0.000109507574645227,2.21960338683374,1.48250142421093,3.323193566216
