dataset,beta,OR
CD000028_pub4_data,0.139643054792628,1.14986328740697
CD000143_pub2_data,0.14057360169031,1.15093378711967
CD000219_pub5_data,0.137303389617236,1.1471761370588
CD000478_pub5_data,0.141703037691329,1.15223442753042
CD000547_pub3_data,0.142899395138949,1.15361373667807
CD001155_pub3_data,0.142144812747406,1.15274356841385
CD001321_pub7_data,0.142400091939724,1.15303787742483
CD001396_pub4_data,0.14481135359583,1.15582150812898
CD001431_pub6_data,0.142386945302724,1.15302271895405
CD001533_pub7_data,0.143452239667765,1.15425168204682
CD001552_pub3_data,0.142336292605909,1.15296431672297
CD001703_pub4_data,0.137395784969589,1.14728213569901
CD001797_pub4_data,0.144007334950216,1.15489257957342
CD001837_pub4_data,0.140656612383387,1.15102933089654
CD001909_pub4_data,0.139247779811267,1.14940886503428
CD001920_pub4_data,0.143700461135667,1.15453822765558
CD002042_pub6_data,0.137635620488768,1.14755732770476
CD002052_pub4_data,0.145549434884154,1.15667491325921
CD002112_pub2_data,0.140442897980888,1.15078336563493
CD002115_pub6_data,0.141910920437128,1.15247398208579
CD002122_pub3_data,0.14217303645516,1.15277610357057
CD002203_pub5_data,0.13751951376454,1.14742409631725
CD002243_pub5_data,0.146318483811299,1.15756479499774
CD002290_pub6_data,0.142934362527946,1.15365407624364
CD002303_pub4_data,0.140337456449936,1.15066203167199
CD002971_pub6_data,0.140110370096274,1.15040076169347
CD003129_pub2_data,0.14107454679294,1.15151048619901
CD003216_pub3_data,0.145029313048406,1.15607345780858
CD003218_pub3_data,0.140142544616022,1.15043777588095
CD003331_pub6_data,0.139017537988061,1.14914425350508
CD003333_pub4_data,0.138026307707311,1.14800575127621
CD003357_pub5_data,0.142490423217192,1.15314203751365
CD003376_pub4_data,0.137494480722385,1.147395373161
CD003414_pub4_data,0.142253440286417,1.15286879491219
CD003429_pub5_data,0.145023865626155,1.15606716020545
CD003451_pub3_data,0.141402998784652,1.15188876423136
CD003477_pub5_data,0.136764050157493,1.14655758652016
CD003511_pub6_data,0.148639333807296,1.16025444918225
CD003519_pub5_data,0.13725531325225,1.14712098632586
CD003594_pub7_data,0.143031562316689,1.15376621662605
CD003598_pub3_data,0.138146073487466,1.14814325131437
CD003743_pub3_data,0.140581946833417,1.1509433918669
CD003774_pub5_data,0.142785394289404,1.15348223122805
CD003833_pub5_data,0.139276881820375,1.14944231562828
CD003962_pub3_data,0.144450135250702,1.15540407959251
CD004184_pub3_data,0.137261765424807,1.14712838777229
CD004307_pub7_data,0.138886048506323,1.14899316305636
CD004376_pub4_data,0.142786092789588,1.15348303693588
CD004406_pub6_data,0.139399798182469,1.14958360957964
CD004417_pub6_data,0.13867254220097,1.14874787195777
CD004508_pub5_data,0.138967465290423,1.14908671419292
CD004661_pub4_data,0.139580265615647,1.14979109070412
CD004667_pub6_data,0.144797868995977,1.15580592244352
CD004703_pub3_data,0.139131009957627,1.14927465656524
CD004736_pub6_data,0.145926401112238,1.1571110228325
CD004762_pub3_data,0.140917128502733,1.15132923165388
CD004871_pub5_data,0.139664324933638,1.14988774542134
CD004904_pub4_data,0.141015832444597,1.151442877996
CD004925_pub4_data,0.138631164802438,1.14870034074263
CD004953_pub5_data,0.140749562114384,1.15113632373562
CD004992_pub4_data,0.138299677531731,1.14831962430663
CD005133_pub4_data,0.143511295828873,1.15431984973295
CD005187_pub6_data,0.140929970861372,1.15134401753172
CD005343_pub7_data,0.141148209120528,1.15159531226587
CD005495_pub5_data,0.139614309471048,1.14983023469205
CD005566_pub4_data,0.14350960113519,1.15431789351605
CD005582_pub5_data,0.141993254147077,1.15256887345068
CD005595_pub4_data,0.137459049155082,1.14735471986482
CD005951_pub5_data,0.142584505917491,1.15325053333408
CD006023_pub4_data,0.143218903379805,1.1539823846636
CD006027_pub3_data,0.143565794684288,1.15438276055781
CD006124_pub3_data,0.145957309051195,1.15714678730206
CD006140_pub3_data,0.141880594349515,1.15243903258878
CD006182_pub3_data,0.141933270472023,1.15249974020735
CD006185_pub6_data,0.14337844511344,1.1541665077011
CD006257_pub2_data,0.143776887029137,1.15462646764304
CD006273_pub4_data,0.140586344611117,1.15094845347122
CD006404_pub5_data,0.142757220293966,1.15344973348273
CD006475_pub3_data,0.138966920265692,1.14908608791241
CD006515_pub2_data,0.140765637933933,1.15115482934418
CD006536_pub5_data,0.136654975461447,1.14643253292013
CD006606_pub5_data,0.140583153283966,1.15094478042403
CD006632_pub3_data,0.140917545034398,1.15132971121906
CD006689_pub3_data,0.141415435496953,1.15190309002961
CD006712_pub3_data,0.140441517913599,1.15078177747755
