term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),1.16147558891426,0.164497915186826,7.06073136303968,1.65628522465053e-12,3.19464378082521,2.31418986310413,4.41007414693095
factor(assumption_debt_score)1,-0.156526839886072,0.101355665777933,-1.54433241284228,0.122507824206031,0.855108566378405,0.701044477853826,1.04303034028919
factor(assumption_debt_score)2,0.219463055186295,0.123898745056206,1.77130975044773,0.076509206923654,1.24540783574529,0.976892674449133,1.58772884463526
factor(assumption_debt_score)3,1.02186764492099,0.494862081967036,2.0649544229761,0.0389273129200317,2.77837894667948,1.05331039760246,7.32869398130182
log_k,-0.565066771840023,0.0491925113987787,-11.486845370819,1.53619777063879e-30,0.568322197571728,0.516084847343656,0.62584693566421
abs_estimate,-1.35995684990927,0.156421241077697,-8.69419549761628,3.49295819622227e-18,0.256671852128315,0.188899059668175,0.348760019190709
tau2_capped,1.02332372693628,0.141182028848498,7.24825769457106,4.22166838679531e-13,2.78242744105004,2.10982910305125,3.66944528991085
