term,beta,se,z,p,OR,OR_low,OR_high
(Intercept),0.889658238666476,0.130709949944412,6.80635436739766,1.00102963130083e-11,2.4342975603293,1.88413105676859,3.14511275154518
assumption_debt_score,0.135842276580683,0.0561764007145588,2.41813777409698,0.0156001688858135,1.14550120697879,1.026070575254,1.27883310060327
log_k,-0.524871480628239,0.0419189173856163,-12.5211125039298,5.72273489936558e-36,0.591631395576242,0.544965625544176,0.642293186624333
abs_estimate,-1.33782626254717,0.104780668888312,-12.7678728981315,2.47834972507347e-37,0.262415471393471,0.213696953319788,0.32224081137745
tau2_capped,1.03822124983639,0.0988795976448471,10.4998530997814,8.65146548157527e-26,2.82418901722544,2.32662155384313,3.42816544093384
measure_factorGIV,-0.00268170140120758,0.45799377476719,-0.00585532282086315,0.995328155018281,0.997321891147896,0.406427588495314,2.44730176473806
measure_factorSMD,0.186040232359539,0.187243894567173,0.993571687822364,0.320431433508104,1.20447071810182,0.834470571783039,1.73852710906852
