method,n_datasets,convergence,median_k,mean_std_shift_vs_reml,mean_std_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
QSE,34,1,80,1.21243634494099e-16,0.161760009170087,0.109050755314451,0,2.075,0.567502267422265,2,3,5.05582130908661e-17,0.0094965992327821,0.0279145981419632,0,0,0.392478520517396,0.054211301958853,1
RMR,34,1,80,0.171060940966151,0.26531394710762,0.115541724698681,0,9.50833333333333,0.549955434914646,9,10,0.0713318727286392,0.0572932827621703,0.0413534230502272,0,0,0.380343318144305,0.0813823485343356,2
HKSJ,34,1,80,0,0.161760009170087,0.105032747847206,0,1.275,0.943464917429455,1,2,0,0.00949659923278213,0.0195957638298498,0,0,0.652490282787286,0.0839153232550594,3
DTM,34,1,80,0.0274313558083581,0.15016988978571,0.121124117498601,0,7.01666666666667,0.925668809617154,6,8,0.0114387888330569,0.00414702702610231,0.0529111419311018,0,0,0.6401826842699,0.0897748071490013,4
REML,34,1,80,0,0.161760009170087,0.113996600087732,0,3.95,1.20816549592604,3,5.10000000000001,0,0.00949659923278213,0.0381544156479674,0,0,0.835554382073321,0.109223572496645,5
BSC,34,1,80,3.66936244015958e-09,0.161760008221313,0.113996602439779,0,4.95,1.20816549592604,4,6.10000000000001,1.53011256163091e-09,0.00949659879486323,0.038154420517617,0,0,0.835554382073321,0.109223573613464,6
SAFE,34,1,80,0.0237972805328261,0.160220931275065,0.105667505528566,0,3.83333333333333,1.2524485821703,3,5,0.00992339090775359,0.00878621756559921,0.020909958495395,0,0,0.866180092613713,0.111821517506954,7
CRT,34,1,80,0.219484204943687,0.306586636255988,0.095567969196661,0,9.71666666666667,0.963042564164304,9,11,0.0915242210440527,0.0763432358679746,0,0,0,0.6660299746384,0.116854437477254,8
LTH,34,1,80,0.0996619976028606,0.141185145498542,0.101643490958389,0,7.075,1.3103498795065,5,8,0.0415587385918561,0,0.0125786871496549,0,0,0.90622401282177,0.120153967715759,9
FATIHA,34,1,80,0.0374334682660834,0.158991392106702,0.110522151363393,0,5.9,1.44594477851715,4,7,0.0156096381737792,0.00821870757334102,0.0309609588166071,0,0,1,0.130815208651356,10
AWH,34,1,80,0.218380783100608,0.311825556679992,0.113996602439779,0.0294117647058824,11.2666666666667,1.09031899837033,10,13,0.0910640976165071,0.0787613285695077,0.038154420517617,0.134453781512605,0,0.754053000204115,0.152194741075227,11
MRSTACK,34,1,80,0.372691671866807,0.357007036133862,0.121512005312015,0.0294117647058824,12.0666666666667,0.985042193639084,11,13,0.155411251419968,0.0996154353070889,0.0537142201925989,0.134453781512605,0,0.681244683942404,0.165002784384348,12
PBM,34,1,80,0.422781993873692,0.390460703903673,0.132666030435292,0.0294117647058824,12.7833333333333,0.851921538713073,12,14,0.176298757674471,0.115056416144105,0.0768073795931467,0.134453781512605,0,0.589179857606138,0.166104041076228,13
MTLE,33,0.970588235294118,80,0.24825802533566,0.390879988512157,0.217566710728334,0,13.5833333333333,0.728568682369735,13,14,0.103522813373339,0.115249942475788,0.252584726474922,0,0.5,0.503870336678348,0.219059697453696,14
CPC,33,0.970588235294118,80,0.695078560628549,0.580999461314867,0.578569230730921,0.0606060606060606,15,0,15,15,0.289845566984063,0.203002088413559,1,0.277056277056277,0.5,0,0.389443800204793,15
HGAM,32,0.941176470588235,80,2.39809967722145,2.3077358408802,0.283728949199947,0.21875,16,0,16,16,1,1,0.389566228886423,1,1,0,0.770121921199556,16
