method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
LTH,34,1,80,0.0104981933274998,0.00861360391851764,0.0865399769276942,0,7.79166666666667,0.483263300248371,7,8,0.0340034060917109,0.0280030730514279,0.0158906681880097,0,0,0.246719010147537,0.0461080269030367,1
DTM,34,1,80,0.0037421525175842,0.00362393281668636,0.106875165575533,0,7.25833333333333,0.510327516081063,7,8,0.0121207457076654,0.0117740105502741,0.0612903792262461,0,0,0.265543697461951,0.0481543583329051,2
RMR,34,1,80,0.0219282887177515,0.019696537024914,0.10365482611013,0,9.46666666666667,0.517481511598181,9,10,0.0710252214743283,0.0640506622429881,0.0541007492844626,0,0,0.270519704507232,0.0719171938298807,3
AWH,34,1,80,0.0314122465048719,0.031290642195703,0.1018517707721,0,10.7166666666667,0.567810675829043,10,11,0.101743542039768,0.101760854682852,0.050075303897644,0,0,0.305526474527789,0.0904476989238871,4
QSE,34,1,80,1.39798303652249e-17,0.00223723838794704,0.0874120045822046,0,2.76666666666667,1.21429395284732,1,5,4.52803481677913e-17,0.00726374322108027,0.0178375300646183,0,0,0.755192026232654,0.0954318220681875,5
REML,34,1,80,0,0.00223723838794703,0.101851770121418,0,4.3,1.15663958347033,2,5,0,0.00726374322108024,0.0500753024449518,0,0,0.715090163221329,0.0964223975352884,6
BSC,34,1,80,3.50368489021428e-10,0.00223723873134489,0.1018517707721,0,5.3,1.15663958347033,3,6,1.13483545618531e-09,0.0072637443379926,0.050075303897644,0,0,0.715090163221329,0.0964223982921575,7
CRT,34,1,80,0.0272774688955622,0.0263152933863468,0.0794223163092988,0,9.76666666666667,0.923396482788282,9,11,0.0883510927142275,0.0855783758893202,0,0,0,0.552856442291558,0.104607256167767,8
HKSJ,34,1,80,0,0.00223723838794703,0.0827903509288977,0,2.38333333333333,1.55667893276677,1,5,0,0.00726374322108024,0.0075193695590731,0,0,0.993340074858181,0.122152319012253,9
SAFE,34,1,80,0.00180607804137298,0.0010486618872784,0.0874176118446078,0,2.74166666666667,1.55836497668557,1,6,0.00584984512651886,0.00339786069634342,0.0178500486646287,0,0,0.994512813420645,0.12458904165114,10
FATIHA,34,1,80,0.00223661156095238,3.98001958655801e-06,0.0892444501701099,0,3.525,1.56625389401087,1,6,0.00724433326801686,0,0.0219285912111316,0,0,1,0.125540899736967,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0206644413065392,0.185398140246958,0,12.225,0.509778333768543,12,13,0.0678475868449387,0.0671988014211126,0.236598335384513,0,1,0.265161710214447,0.234117311013477,12
PBM,34,1,80,0.117719553576418,0.115482315193764,0.123429094095696,0.0294117647058824,12.9083333333333,0.565028940038678,12,14,0.381290919334514,0.375596924290881,0.098248166261229,0.194117647058824,0,0.303591620520984,0.245866284104773,13
MRSTACK,34,1,80,0.164660338834208,0.162423321243661,0.158254301449616,0.0294117647058824,13.8916666666667,0.445251950832209,13,14,0.53333104029546,0.528274025747772,0.175997843340454,0.194117647058824,0,0.220279974500553,0.316901617388506,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115047884728203,0.527336811419461,0.121212121212121,14.975,0.241232828012533,15,15,0.380102697144559,0.37418392551118,1,0.8,1,0.0783731770901409,0.58934783823508,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307456804326384,0.298391774777742,0.151515151515152,15.9833333333333,0.128555865849279,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
