method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
DTM,34,1,80,0.0037421525175842,0.00361975919359375,0.106875165575533,0,7.275,0.484421165460613,7,8,0.0121207457076654,0.0117462362420637,0.0612903792262461,0,0,0.24889007694404,0.0461498135229495,1
LTH,34,1,80,0.0104981933274998,0.00860951105777252,0.0865399769276942,0,7.79166666666667,0.483263300248371,7,8,0.0340034060917109,0.0279755642884495,0.0158906681880097,0,0,0.24808027289155,0.046265326504463,2
RMR,34,1,80,0.0219282887177515,0.0197007374248212,0.10365482611013,0,9.46666666666667,0.517481511598181,9,10,0.0710252214743283,0.0640501339358486,0.0541007492844626,0,0,0.272012286676101,0.0720961874625743,3
AWH,34,1,80,0.0314122465048719,0.0312947329883006,0.1018517707721,0,10.7166666666667,0.567810675829043,10,11,0.101743542039768,0.101759976527193,0.050075303897644,0,0,0.307212205217272,0.09064979341238,4
QSE,34,1,80,1.39798303652249e-17,0.00223304374248643,0.0874120045822046,0,2.76666666666667,1.21429395284732,1,5,4.52803481677913e-17,0.00723589974124919,0.0178375300646183,0,0,0.759358769481469,0.0959257056924824,5
REML,34,1,80,0,0.00223304374248642,0.101851770121418,0,4.30833333333333,1.15806150207018,2,5,0,0.00723589974124916,0.0500753024449518,0,0,0.720030127391439,0.0970090676701388,6
BSC,34,1,80,3.50368489021428e-10,0.00223304408588428,0.1018517707721,0,5.30833333333333,1.15806150207018,3,6,1.13483545618531e-09,0.00723590085816172,0.050075303897644,0,0,0.720030127391439,0.097009068427008,7
CRT,34,1,80,0.0272774688955622,0.0263194068186795,0.0794223163092988,0,9.76666666666667,0.923396482788282,9,11,0.0883510927142275,0.0855775685152388,0,0,0,0.555906806660437,0.104973122269735,8
FATIHA,34,1,80,0.00222841366783249,8.34632311610196e-06,0.0892412120844,0,3.49166666666667,1.51738293795342,1,6,0.00721778048125098,0,0.0219213619614752,0,0,0.971337405516894,0.122094245520968,9
HKSJ,34,1,80,0,0.00223304374248642,0.0827903509288977,0,2.38333333333333,1.55667893276677,1,5,0,0.00723589974124916,0.0075193695590731,0,0,0.998820790897173,0.122803879371369,10
SAFE,34,1,80,0.00180607804137298,0.00104456472217563,0.0874176118446078,0,2.74166666666667,1.55836497668557,1,6,0.00584984512651886,0.0033703335924913,0.0178500486646287,0,0,1,0.125241448077815,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0206687118676823,0.185398140246958,0,12.2,0.495356590004114,12,13,0.0678475868449387,0.0671985018710334,0.236598335384513,0,1,0.256538247920587,0.233082429637197,12
PBM,34,1,80,0.121920886258353,0.119687842521161,0.105809647034335,0.0294117647058824,12.925,0.537071110888736,12,14,0.394898939005482,0.389261401587536,0.0589115356013342,0.194117647058824,0,0.285713136070672,0.242640221784832,13
MRSTACK,34,1,80,0.164660338834208,0.162427515743432,0.158254301449616,0.0294117647058824,13.9,0.437717532954144,13,14,0.53333104029546,0.528273560147794,0.175997843340454,0.194117647058824,0,0.216225833757653,0.316415018067363,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115052204966252,0.527336811419461,0.121212121212121,14.975,0.241232828012533,15,15,0.380102697144559,0.374183841694657,1,0.8,1,0.0788055981104708,0.589399710317884,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307461116389587,0.298391774777742,0.151515151515152,15.9833333333333,0.128555865849279,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
