dataset,measure,k,method,estimate,se,abs_shift_vs_reml
CD000219_pub5_data,OR,71,QSE,-0.18235572793318,0.0689212193317706,2.77555756156289e-17
CD000219_pub5_data,OR,71,LTH,-0.177737858972816,0.0591620273247796,0.00461786896036431
CD000219_pub5_data,OR,71,RMR,-0.194285952203315,0.0682454999137418,0.0119302242701344
CD000219_pub5_data,OR,71,CRT,-0.18235572793318,0.0707393610316157,0
CD000219_pub5_data,OR,71,AWH,-0.193325465850636,0.0672364277380439,0.0109697379174553
CD000219_pub5_data,OR,71,MRSTACK,-0.168391432876581,0.0810658778593065,0.0139642950565993
CD000219_pub5_data,OR,71,SAFE,-0.181999803215136,0.0681688421379967,0.00035592471804427
CD000219_pub5_data,OR,71,CPC,-0.236472821245228,0.41354790437631,0.0541170933120481
CD000219_pub5_data,OR,71,DTM,-0.182220750478017,0.0697016261139061,0.000134977455163776
CD000219_pub5_data,OR,71,BSC,-0.182355728313845,0.0672364277380439,3.8066455543273e-10
CD000219_pub5_data,OR,71,HGAM,-0.369787668486869,0.249891254870646,0.187431940553689
CD000219_pub5_data,OR,71,MTLE,-0.174124071888924,0.100410678979016,0.00823165604425594
CD000219_pub5_data,OR,71,PBM,-0.172875692431844,0.0730899055455175,0.00948003550133658
CD000219_pub5_data,OR,71,FATIHA,-0.182348080487247,0.0689866917968089,7.64744593367839e-06
CD000478_pub5_data,OR,42,REML,-0.661060556836368,0.136741615318509,0
CD000478_pub5_data,OR,42,HKSJ,-0.661060556836368,0.144179931840939,0
CD000478_pub5_data,OR,42,QSE,-0.661060556836368,0.140313118644344,0
CD000478_pub5_data,OR,42,LTH,-0.661069962641126,0.132816272978519,9.40580475738972e-06
CD000478_pub5_data,OR,42,RMR,-0.654404007905384,0.139528653874242,0.00665654893098466
CD000478_pub5_data,OR,42,CRT,-0.661060556836368,0.144179931840939,0
CD000478_pub5_data,OR,42,AWH,-0.642220418978836,0.136741616905142,0.0188401378575328
CD000478_pub5_data,OR,42,MRSTACK,-0.729097085226748,0.206151987307195,0.06803652839038
CD000478_pub5_data,OR,42,SAFE,-0.66106146786707,0.139604595660595,9.11030701433724e-07
CD000478_pub5_data,OR,42,CPC,-0.659802454211379,0.794233895731442,0.00125810262498915
CD000478_pub5_data,OR,42,DTM,-0.660251177249562,0.137743220360549,0.000809379586806491
CD000478_pub5_data,OR,42,BSC,-0.661060556832023,0.136741616905142,4.34541291838286e-12
CD000478_pub5_data,OR,42,HGAM,-0.0891995199387124,0.310564332814576,0.571861036897656
CD000478_pub5_data,OR,42,MTLE,-0.680464325564129,0.291468958414663,0.019403768727761
CD000478_pub5_data,OR,42,PBM,-0.681909254860669,0.16246696382253,0.0208486980243007
CD000478_pub5_data,OR,42,FATIHA,-0.661058365839777,0.139668399215546,2.19099659126698e-06
CD000547_pub3_data,OR,80,REML,0.464609876408268,0.135496483670709,0
CD000547_pub3_data,OR,80,HKSJ,0.464609876408268,0.136838228075356,0
CD000547_pub3_data,OR,80,QSE,0.464609876408268,0.136162398042248,0
CD000547_pub3_data,OR,80,LTH,0.460774047758781,0.122118888543523,0.00383582864948745
CD000547_pub3_data,OR,80,RMR,0.395222814150405,0.136991516579415,0.0693870622578632
CD000547_pub3_data,OR,80,CRT,0.36963436184511,0.123244433960073,0.0949755145631579
CD000547_pub3_data,OR,80,AWH,0.375213842896412,0.135496484137931,0.0893960335118561
CD000547_pub3_data,OR,80,MRSTACK,0.389818706181283,0.246014319037441,0.0747911702269851
CD000547_pub3_data,OR,80,SAFE,0.463139490887735,0.130970508257942,0.00147038552053297
CD000547_pub3_data,OR,80,CPC,0.0735495550525133,0.806830488948552,0.391060321355755
CD000547_pub3_data,OR,80,DTM,0.461493545773392,0.142322188461113,0.00311633063487604
CD000547_pub3_data,OR,80,BSC,0.464609876503361,0.135496484137931,9.50929335274964e-11
CD000547_pub3_data,OR,80,HGAM,0.49614791631541,0.576246344497545,0.0315380399071423
CD000547_pub3_data,OR,80,MTLE,0.438826667657111,0.22507573339064,0.0257832087511568
CD000547_pub3_data,OR,80,PBM,0.44538675878661,0.160796590625968,0.0192231176216584
CD000547_pub3_data,OR,80,FATIHA,0.460776349148922,0.122547103153118,0.00383352725934594
CD001072_pub2_data,OR,3,REML,0.505622695636545,1.30833412821811,0
CD001072_pub2_data,OR,3,HKSJ,0.505622695636545,1.38375543648003,0
CD001072_pub2_data,OR,3,QSE,0.505622695636545,1.34446076068941,0
CD001072_pub2_data,OR,3,LTH,0.57665495605405,1.1465426630009,0.0710322604175048
CD001072_pub2_data,OR,3,RMR,0.505622695148872,1.30833412951573,4.87672457971655e-10
CD001072_pub2_data,OR,3,CRT,0.505622695636545,1.38375543648003,0
CD001072_pub2_data,OR,3,AWH,0.722033372167075,1.30833412951573,0.21641067653053
CD001072_pub2_data,OR,3,MRSTACK,3.75031299377945,2.04218190340682,3.2446902981429
CD001072_pub2_data,OR,3,SAFE,0.505622695888302,1.33209206040318,2.51756726576957e-10
CD001072_pub2_data,OR,3,CPC,,,
CD001072_pub2_data,OR,3,DTM,0.550699682944945,1.37909412919393,0.0450769873083997
CD001072_pub2_data,OR,3,BSC,0.505622695214602,1.30833412951573,4.21942702999445e-10
CD001072_pub2_data,OR,3,HGAM,,,
CD001072_pub2_data,OR,3,MTLE,,,
CD001072_pub2_data,OR,3,PBM,3.06081476747619,1.02619491953438,2.55519207183965
CD001072_pub2_data,OR,3,FATIHA,0.505631691343391,1.33706085950473,8.99570684576023e-06
CD001155_pub3_data,OR,80,REML,-0.125712636632606,0.035592342629937,0
CD001155_pub3_data,OR,80,HKSJ,-0.125712636632606,0.0359685433832102,0
CD001155_pub3_data,OR,80,QSE,-0.125712636632606,0.0357789597445599,0
CD001155_pub3_data,OR,80,LTH,-0.126128723843545,0.0302658246585148,0.000416087210938471
CD001155_pub3_data,OR,80,RMR,-0.113595047411795,0.0361551101758461,0.0121175892208111
CD001155_pub3_data,OR,80,CRT,-0.115529533521966,0.0346775302433265,0.0101831031106401
CD001155_pub3_data,OR,80,AWH,-0.125541826930417,0.0355923444187562,0.000170809702189023
CD001155_pub3_data,OR,80,MRSTACK,-0.13277273137202,0.0554058951220789,0.00706009473941371
CD001155_pub3_data,OR,80,SAFE,-0.125748900045019,0.0353329022185929,3.62634124125849e-05
CD001155_pub3_data,OR,80,CPC,-0.0527557368135869,0.203230527377974,0.0729568998190195
CD001155_pub3_data,OR,80,DTM,-0.125551664646251,0.0371264053305625,0.000160971986355674
CD001155_pub3_data,OR,80,BSC,-0.125712636526606,0.0355923444187562,1.06000763722136e-10
