method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
LTH,34,1,80,0.0104981933274998,0.00861349538278347,0.0865399769276942,0,7.79166666666667,0.483263300248371,7,8,0.0340034060917109,0.0280023759266978,0.0158906681880097,0,0,0.246719010147537,0.046107873535596,1
DTM,34,1,80,0.0037421525175842,0.00362385024253147,0.106875165575533,0,7.25833333333333,0.510327516081063,7,8,0.0121207457076654,0.0117733944249429,0.0612903792262461,0,0,0.265543697461951,0.0481542227853323,2
RMR,34,1,80,0.0219282887177515,0.0196965447998779,0.10365482611013,0,9.46666666666667,0.517481511598181,9,10,0.0710252214743283,0.0640503510666647,0.0541007492844626,0,0,0.270519704507232,0.0719171253710895,3
AWH,34,1,80,0.0314122465048719,0.0312907344797757,0.1018517707721,0,10.7166666666667,0.567810675829043,10,11,0.101743542039768,0.101760826371808,0.050075303897644,0,0,0.305526474527789,0.0904476926954573,4
QSE,34,1,80,1.39798303652249e-17,0.00223724342497391,0.0874120045822046,0,2.76666666666667,1.21429395284732,1,5,4.52803481677913e-17,0.00726341109750883,0.0178375300646183,0,0,0.755192026232654,0.0954317490010018,5
REML,34,1,80,0,0.0022372434249739,0.101851770121418,0,4.3,1.15663958347033,2,5,0,0.0072634110975088,0.0500753024449518,0,0,0.715090163221329,0.0964223244681027,6
BSC,34,1,80,3.50368489021428e-10,0.00223724376837176,0.1018517707721,0,5.3,1.15663958347033,3,6,1.13483545618531e-09,0.00726341221442139,0.050075303897644,0,0,0.715090163221329,0.0964223252249719,7
CRT,34,1,80,0.0272774688955622,0.0263153779233164,0.0794223163092988,0,9.76666666666667,0.923396482788282,9,11,0.0883510927142275,0.0855783189489783,0,0,0,0.552856442291558,0.104607243640892,8
HKSJ,34,1,80,0,0.0022372434249739,0.0827903509288977,0,2.38333333333333,1.55667893276677,1,5,0,0.0072634110975088,0.0075193695590731,0,0,0.993340074858181,0.122152245945067,9
SAFE,34,1,80,0.00180607804137298,0.0010485961943739,0.0874176118446078,0,2.74166666666667,1.55836497668557,1,6,0.00584984512651886,0.00339729770160799,0.0178500486646287,0,0,0.994512813420645,0.124588917792298,10
FATIHA,34,1,80,0.0022367493279133,4.08764249807521e-06,0.0892415708668809,0,3.525,1.56625389401087,1,6,0.00724477949202627,0,0.0219221629681065,0,0,1,0.125539840822505,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0206644481524987,0.185398140246958,0,12.2083333333333,0.500350017543742,12,13,0.0678475868449387,0.067198487890755,0.236598335384513,0,1,0.258603784947722,0.233330291004791,12
PBM,34,1,80,0.120730842294791,0.118493598875111,0.12006920858764,0.0294117647058824,12.925,0.552496245091617,12,14,0.391044414050792,0.385390951038441,0.0907469901556634,0.194117647058824,0,0.294874424905791,0.247770463653993,13
MRSTACK,34,1,80,0.164660338834208,0.162423315973607,0.158254301449616,0.0294117647058824,13.8916666666667,0.445251950832209,13,14,0.53333104029546,0.528273770583564,0.175997843340454,0.194117647058824,0,0.220279974500553,0.31690156125238,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115047879034059,0.527336811419461,0.121212121212121,14.975,0.241232828012533,15,15,0.380102697144559,0.374183636291839,1,0.8,1,0.0783731770901409,0.589347774606824,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307456846752023,0.298391774777742,0.151515151515152,15.9833333333333,0.128555865849279,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
