method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,score_shift,score_consensus,score_se,score_flip,score_convergence,world_score,rank
HKSJ,34,1,80,0,0.00223746706269588,0.0827903509288977,0,0,0.00726480605561555,0.0075193695590731,0,0,0.00332007542571851,1
QSE,34,1,80,1.39798303652249e-17,0.00223746706269589,0.0874120045822046,0,4.52803481677913e-17,0.00726480605561558,0.0178375300646183,0,0,0.00538370752682756,2
SAFE,34,1,80,0.00180607804137298,0.00104879424561224,0.0874176118446078,0,0.00584984512651886,0.00339860892417285,0.0178500486646287,0,0,0.00588212324559866,3
FATIHA,34,1,80,0.00223706892846066,3.88269384284407e-06,0.0892393635214533,0,0.00724581467082897,0,0.0219172349172135,0,0,0.00619490065114995,4
REML,34,1,80,0,0.00223746706269588,0.101851770121418,0,0,0.00726480605561555,0.0500753024449518,0,0,0.0118312620028943,5
BSC,34,1,80,3.50368489021428e-10,0.00223746740297607,0.1018517707721,0,1.13483545618531e-09,0.00726480716238797,0.050075303897644,0,0,0.0118312628538347,6
DTM,34,1,80,0.0037421525175842,0.00362394828404523,0.106875165575533,0,0.0121207457076654,0.0117743814776661,0.0612903792262461,0,0,0.0182318576415821,7
LTH,34,1,80,0.0104981933274998,0.00861375434941545,0.0865399769276942,0,0.0340034060917109,0.0280038885540715,0.0158906681880097,0,0,0.0186799572990475,8
CRT,34,1,80,0.0272774688955622,0.0263151724515967,0.0794223163092988,0,0.0883510927142275,0.0855783286401404,0,0,0,0.043482355338592,9
RMR,34,1,80,0.0219282887177515,0.0196963203714053,0.10365482611013,0,0.0710252214743283,0.0640502962345008,0.0541007492844626,0,0,0.0445890292840998,10
AWH,34,1,80,0.0314122465048719,0.0312904931979391,0.1018517707721,0,0.101743542039768,0.101760721743661,0.050075303897644,0,0,0.060891126725386,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0206643383539169,0.185398140246958,0,0.0678475868449387,0.0671988063151413,0.236598335384513,0,1,0.231081265366923,12
PBM,34,1,80,0.119748621478415,0.117511154417895,0.120084587706819,0.0294117647058824,0.387863023477285,0.382196236284605,0.0907813250998261,0.194117647058824,0,0.239788727019261,13
MRSTACK,34,1,80,0.164660338834208,0.162423253141947,0.158254301449616,0.0294117647058824,0.53333104029546,0.52827430314914,0.175997843340454,0.194117647058824,0,0.329718551588064,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115047648228246,0.527336811419461,0.121212121212121,0.380102697144559,0.374183602003052,1,0.8,1,0.658571574786903,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307456600874326,0.298391774777742,0.151515151515152,1,1,0.488864416889632,1,1,0.897772883377926,16
