measure,method,n_datasets,convergence,median_k,mean_std_shift_vs_reml,mean_std_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,score_shift,score_consensus,score_se,score_flip,score_convergence,world_score_measure,rank_within_measure,norm_rank_within_measure
OR,HKSJ,34,1,80,0,0.161760009170087,0.105032747847206,0,0,0.00949659923278213,0.0195957638298498,0,0,0.00657820055114896,1,0.0625
OR,QSE,34,1,80,1.21243634494099e-16,0.161760009170087,0.109050755314451,0,5.05582130908661e-17,0.0094965992327821,0.0279145981419632,0,0,0.00824196741357165,2,0.125
OR,SAFE,34,1,80,0.0237972805328261,0.160220931275065,0.105667505528566,0,0.00992339090775359,0.00878621756559921,0.020909958495395,0,0,0.00942068207161778,3,0.1875
OR,REML,34,1,80,0,0.161760009170087,0.113996600087732,0,0,0.00949659923278213,0.0381544156479674,0,0,0.0102899309147725,4,0.25
OR,BSC,34,1,80,3.66936244015958e-09,0.161760008221313,0.113996602439779,0,1.53011256163091e-09,0.00949659879486323,0.038154420517617,0,0,0.0102899321945166,5,0.3125
OR,FATIHA,34,1,80,0.0374334682660834,0.158991392106702,0.110522151363393,0,0.0156096381737792,0.00821870757334102,0.0309609588166071,0,0,0.0128641285725151,6,0.375
OR,LTH,34,1,80,0.0996619976028606,0.141185145498542,0.101643490958389,0,0.0415587385918561,0,0.0125786871496549,0,0,0.0141521842356507,7,0.4375
OR,DTM,34,1,80,0.0274313558083581,0.15016988978571,0.121124117498601,0,0.0114387888330569,0.00414702702610231,0.0529111419311018,0,0,0.0149462568267849,8,0.5
OR,RMR,34,1,80,0.171060940966151,0.26531394710762,0.115541724698681,0,0.0713318727286392,0.0572932827621703,0.0413534230502272,0,0,0.0442857281474721,9,0.5625
OR,CRT,34,1,80,0.219484204943687,0.306586636255988,0.095567969196661,0,0.0915242210440527,0.0763432358679746,0,0,0,0.0470028879353676,10,0.625
OR,AWH,34,1,80,0.218380783100608,0.311825556679992,0.113996602439779,0.0294117647058824,0.0910640976165071,0.0787613285695077,0.038154420517617,0.134453781512605,0,0.0713164572171202,11,0.6875
OR,MRSTACK,34,1,80,0.372691671866807,0.357007036133862,0.121512005312015,0.0294117647058824,0.155411251419968,0.0996154353070889,0.0537142201925989,0.134453781512605,0,0.0982847701036084,12,0.75
OR,PBM,34,1,80,0.422781993873692,0.390460703903673,0.132666030435292,0.0294117647058824,0.176298757674471,0.115056416144105,0.0768073795931467,0.134453781512605,0,0.113075378369343,13,0.8125
OR,MTLE,33,0.970588235294118,80,0.24825802533566,0.390879988512157,0.217566710728334,0,0.103522813373339,0.115249942475788,0.252584726474922,0,0.5,0.17177331693274,14,0.875
OR,CPC,33,0.970588235294118,80,0.695078560628549,0.580999461314867,0.578569230730921,0.0606060606060606,0.289845566984063,0.203002088413559,1,0.277056277056277,0.5,0.431244096758087,15,0.9375
OR,HGAM,32,0.941176470588235,80,2.39809967722145,2.3077358408802,0.283728949199947,0.21875,1,1,0.389566228886423,1,1,0.877913245777285,16,1
