method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
LTH,34,1,80,0.0104981933274998,0.00857823175487765,0.0865399769276942,0,7.78333333333333,0.488236981536688,7,8,0.0340034060917109,0.0277772066207923,0.0158906681880097,0,0,0.242830759633431,0.0455917462266042,1
DTM,34,1,80,0.0037421525175842,0.00358854847535953,0.106875165575533,0,7.25833333333333,0.510327516081063,7,8,0.0121207457076654,0.0115482329034691,0.0612903792262461,0,0,0.257744696034755,0.0471688070793445,2
RMR,34,1,80,0.0219282887177515,0.0197318459264285,0.10365482611013,0,9.46666666666667,0.517481511598181,9,10,0.0710252214743283,0.0640544012047226,0.0541007492844626,0,0,0.262574558071064,0.0709645988291222,3
AWH,34,1,80,0.0314122465048719,0.0313260092818199,0.1018517707721,0,10.7166666666667,0.567810675829043,10,11,0.101743542039768,0.10176448455638,0.050075303897644,0,0,0.296553181492921,0.089371702331879,4
QSE,34,1,80,1.39798303652249e-17,0.00220194832713927,0.0874120045822046,0,2.75,1.21786422778195,1,5,4.52803481677913e-17,0.00703830790396563,0.0178375300646183,0,0,0.735422476928273,0.0930098803818965,5
REML,34,1,80,0,0.00220194832713926,0.101851770121418,0,4.275,1.16649658624202,2,5,0,0.0070383079039656,0.0500753024449518,0,0,0.700742748491933,0.0946511119979958,6
BSC,34,1,80,3.50368489021428e-10,0.00220194867053712,0.1018517707721,0,5.275,1.16649658624202,3,6,1.13483545618531e-09,0.00703830902086912,0.050075303897644,0,0,0.700742748491933,0.0946511127548629,7
CRT,34,1,80,0.0272774688955622,0.0263506589842247,0.0794223163092988,0,9.76666666666667,0.923396482788282,9,11,0.0883510927142275,0.0855821289456354,0,0,0,0.536619083906939,0.102659598834003,8
HKSJ,34,1,80,0,0.00220194832713926,0.0827903509288977,0,2.375,1.55061657565817,1,5,0,0.0070383079039656,0.0075193695590731,0,0,0.960072873850459,0.118110659121561,9
SAFE,34,1,80,0.00180607804137298,0.00101329029541867,0.0874176118446078,0,2.73333333333333,1.54339652362303,1,5.10000000000001,0.00584984512651886,0.00317219078289224,0.0178500486646287,0,0,0.955198415215242,0.119821666485533,10
FATIHA,34,1,80,0.00223675988480952,3.7983564103715e-05,0.0892403929382584,0,3.61666666666667,1.6097566668943,1,6,0.00724481368556968,0,0.021919533161223,0,0,1,0.125539374979845,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0207008096123616,0.185398140246958,0,12.175,0.479188740205251,12,13,0.0678475868449387,0.0672059611958344,0.236598335384513,0,1,0.236722039380882,0.230706125663888,12
PBM,34,1,80,0.123043890282948,0.120911418771916,0.117211283551942,0.0294117647058824,12.975,0.526004441301504,12,14,0.398536323143844,0.393141546911892,0.0843664754214968,0.194117647058824,0,0.268328625782417,0.246789826199668,13
MRSTACK,34,1,80,0.164660338834208,0.162458609577434,0.158254301449616,0.0294117647058824,13.875,0.477431855316116,13,14,0.53333104029546,0.528274025235543,0.175997843340454,0.194117647058824,0,0.235535917358873,0.318732330418814,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115084245423779,0.527336811419461,0.121212121212121,14.975,0.241232828012533,15,15,0.380102697144559,0.374188631903961,1,0.8,1,0.07607136188676,0.589072655817085,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307493240219798,0.298391774777742,0.151515151515152,15.9833333333333,0.128555865849279,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
