method,scenarios,applicability,convergence,bias,abs_bias,rmse,coverage,ci_width,type1_error,power,type1_scenarios,power_scenarios,coverage_gap,type1_gap,score_abs_bias,score_rmse,score_coverage,score_width,score_conv,score_app,score_type1,world_score,rank
SWA,9,0.563555555555556,0.99975,0.0654646525224179,0.119343677554988,0.14422032248211,0.825040082986082,0.527747895497553,0.0529801324503311,0.785369726043073,2,6,0.124959917013918,0.00298013245033112,0,0,0.459546737590287,0,0.000249999999999972,0.436444444444444,0.0488546303332971,0.108921051278055,1
PBM,9,1,0.999555555555555,0.0986725733825703,0.160031822285965,0.197098912870778,0.887061233578268,1.05014267508246,0.04,0.610821643286573,2,7,0.0629387664217324,0.01,0.184299105501726,0.173695788524453,0.108124651571013,0.27437670568407,0.00044444444444447,0,0.163934426229508,0.160908811540379,2
TAS,9,0.563555555555556,0.99975,0.105913688514621,0.150038850701291,0.17401855530784,0.787275332564855,0.574401364854739,0.0198675496688742,0.846983001700292,2,6,0.162724667435145,0.0301324503311258,0.139035411702548,0.0978813449688614,0.673528052743399,0.0245037388029197,0.000249999999999972,0.436444444444444,0.493974595592227,0.255958245162663,3
TRIMFILL,9,1,0.999555555555555,0.0838804836759621,0.15269163923633,0.189752646261086,0.780338454687152,0.585837260496555,0.097,0.746634411680504,2,7,0.169661545312848,0.047,0.151051357804918,0.149564744899756,0.712833548867979,0.0305101988507047,0.00044444444444447,0,0.770491803278689,0.289981445265153,4
HKSJ,9,1,0.999555555555555,0.114793715316807,0.170939520057628,0.204905071613916,0.78612959251837,0.741951415299575,0.078,0.765227598053249,2,7,0.16387040748163,0.028,0.233706099988505,0.199337487523429,0.680020005139105,0.112505825873512,0.00044444444444447,0,0.459016393442623,0.303939874745769,5
REML,9,1,0.999555555555555,0.114793715316807,0.170939520057628,0.204905071613916,0.729657537296816,0.582917699444969,0.111,0.821271686229602,2,7,0.220342462703184,0.061,0.233706099988505,0.199337487523429,1,0.0289767617363177,0.00044444444444447,0,1,0.402861655828818,6
PETPEESE,9,1,0.999333333333333,-0.00517829358362597,0.34011601728073,0.448652518782738,0.906143743086351,2.43168058643968,0.05,0.245027979079214,2,7,0.0438562569136488,0,1,1,0,1,0.000666666666666704,0,0,0.650026666666667,7
