scenario,scenario_kind,method,iter,k_target,k_obs,true_theta,estimate,se,ci_lb,ci_ub,pvalue,applicable,converged
BASE_NULL,none,REML,1,10,10,0,0.170478399578526,0.130005702536975,-0.0843280951787716,0.425284894335824,0.189751436050742,1,1
BASE_NULL,none,HKSJ,1,10,10,0,0.170478399578526,0.136631000706619,-0.138602397330239,0.479559196487291,0.24361708187152,1,1
BASE_NULL,none,PETPEESE,1,10,10,0,-0.172893250830668,0.296752521711166,-0.857205793028882,0.511419291367545,0.57619944425939,1,1
BASE_NULL,none,TRIMFILL,1,10,10,0,0.120291020565568,0.131841206997649,-0.138112996828114,0.378695037959251,0.361561768584641,1,1
BASE_NULL,none,SWA,1,10,10,0,0.0458680163680469,0.0974790658783789,-0.178919112643334,0.270655145379428,0.650529821926764,1,1
BASE_NULL,none,TAS,1,10,10,0,0.170478399578526,0.130005702536975,-0.12931528807186,0.470272087228912,0.226134787939567,1,1
BASE_NULL,none,PBM,1,10,10,0,0.130043249773364,0.152189478090194,-0.220906316037187,0.480992815583916,0.417689749726422,1,1
BASE_NULL,none,REML,2,10,10,0,-0.0119075900171396,0.0899854466023464,-0.188275824490491,0.164460644456212,0.894724897886676,1,1
BASE_NULL,none,HKSJ,2,10,10,0,-0.0119075900171396,0.0909263061069302,-0.217597184663714,0.193782004629435,0.89868859148401,1,1
BASE_NULL,none,PETPEESE,2,10,10,0,0.195025847601174,0.267283990556308,-0.421332139895543,0.811383835097891,0.486411719215834,1,1
BASE_NULL,none,TRIMFILL,2,10,10,0,0.106138583156373,0.0974801512521388,-0.0849190025053357,0.297196168818082,0.276232162213007,1,1
BASE_NULL,none,SWA,2,10,10,0,0.0129340277361305,0.068974043173492,-0.146120401043693,0.171988456515954,0.855921540989112,1,1
BASE_NULL,none,TAS,2,10,10,0,-0.0119075900171396,0.0899854466023464,-0.219414401990344,0.195599221956065,0.89799262558183,1,1
BASE_NULL,none,PBM,2,10,10,0,0.0107981416429592,0.104507118513104,-0.23019570580653,0.251791989092448,0.920248673919809,1,1
BASE_NULL,none,REML,3,10,10,0,-0.169298150805954,0.0786298102468473,-0.323409747000993,-0.0151865546109149,0.0313105141201239,1,1
BASE_NULL,none,HKSJ,3,10,10,0,-0.169298150805954,0.0672280711233079,-0.321378613438652,-0.0172176881732559,0.0328620268910366,1,1
BASE_NULL,none,PETPEESE,3,10,10,0,-0.130431658798651,0.178200146688,-0.541361933955169,0.280498616357867,0.485092572705898,1,1
BASE_NULL,none,TRIMFILL,3,10,10,0,-0.15842851280555,0.077265529393161,-0.309866167662566,-0.0069908579485333,0.0403212851618764,1,1
BASE_NULL,none,SWA,3,10,10,0,-0.154517994795778,0.0735354189832788,-0.32409097505519,0.015054985463634,0.0688011405616189,1,1
BASE_NULL,none,TAS,3,10,10,0,-0.169298150805954,0.0786298102468473,-0.350618818385503,0.0120225167735946,0.0634676553249334,1,1
BASE_NULL,none,PBM,3,10,10,0,-0.165026719227548,0.078732157987688,-0.346583401120704,0.0165299626656084,0.069362131479132,1,1
BASE_NULL,none,REML,4,10,10,0,0.0443722820721177,0.0897623174282141,-0.131558627256034,0.220303191400269,0.621072545948902,1,1
BASE_NULL,none,HKSJ,4,10,10,0,0.0443722820721177,0.0820650383919039,-0.141271732341437,0.230016296485673,0.601839737129642,1,1
BASE_NULL,none,PETPEESE,4,10,10,0,0.158648209648321,0.100316861070564,-0.0726828868111003,0.389979306107743,0.152426731027284,1,1
BASE_NULL,none,TRIMFILL,4,10,10,0,0.165786804162023,0.0888512245348888,-0.00835839590864082,0.339932004232687,0.0620564532945865,1,1
BASE_NULL,none,SWA,4,10,10,0,0.12899631535916,0.0742299453167368,-0.0421782454972143,0.300170876215534,0.120447588327956,1,1
BASE_NULL,none,TAS,4,10,10,0,0.0443722820721177,0.0897623174282141,-0.162619993102853,0.251364557247088,0.634359503983708,1,1
BASE_NULL,none,PBM,4,10,10,0,0.107728644081512,0.102599848047584,-0.128867029787535,0.34432431795056,0.324404484264881,1,1
BASE_NULL,none,REML,5,10,10,0,-0.074536239891677,0.128320610144088,-0.326040014248294,0.17696753446494,0.56133517917768,1,1
BASE_NULL,none,HKSJ,5,10,10,0,-0.074536239891677,0.126931096911877,-0.361674329952713,0.212601850169359,0.571492559368693,1,1
BASE_NULL,none,PETPEESE,5,10,10,0,0.287654883103889,0.453275752515264,-0.757600876584091,1.33291064279187,0.543398346750583,1,1
BASE_NULL,none,TRIMFILL,5,10,10,0,-0.074536239891677,0.128320610144088,-0.326040014248294,0.17696753446494,0.56133517917768,1,1
BASE_NULL,none,SWA,5,10,10,0,0.0257491109427457,0.12414914957693,-0.260539341363736,0.312037563249227,0.840876043905752,1,1
BASE_NULL,none,TAS,5,10,10,0,-0.074536239891677,0.128320610144088,-0.370444097515865,0.221371617732511,0.577327921270447,1,1
BASE_NULL,none,PBM,5,10,10,0,-0.0577354973978266,0.145458476263193,-0.393163345161246,0.277692350365593,0.701804381477498,1,1
BASE_NULL,none,REML,6,10,10,0,0.0128444127910353,0.0734010440912471,-0.131018990055446,0.156707815637516,0.861087875657944,1,1
BASE_NULL,none,HKSJ,6,10,10,0,0.0128444127910353,0.0664507580056854,-0.137477645404896,0.163166470986967,0.851021947041017,1,1
BASE_NULL,none,PETPEESE,6,10,10,0,-0.056749817702659,0.208070534707418,-0.536561331152106,0.423061695746788,0.791958622922522,1,1
BASE_NULL,none,TRIMFILL,6,10,10,0,-0.0529811471991164,0.0759325655501782,-0.201806240931192,0.0958439465329596,0.485340146480385,1,1
BASE_NULL,none,SWA,6,10,10,0,0.0123208911681188,0.0733970603903623,-0.156933033603887,0.181574815940124,0.870854539590659,1,1
BASE_NULL,none,TAS,6,10,10,0,0.0128444127910353,0.0734010440912471,-0.156418698411684,0.182107523993754,0.865435611151193,1,1
BASE_NULL,none,PBM,6,10,10,0,0.00254259889928539,0.0801618019516443,-0.182310847886624,0.187396045685195,0.975473728137431,1,1
BASE_NULL,none,REML,7,10,10,0,-0.00816226562068482,0.116820383566152,-0.237126010070498,0.220801478829128,0.944296958085311,1,1
BASE_NULL,none,HKSJ,7,10,10,0,-0.00816226562068482,0.11329464951233,-0.264452568521715,0.248128037280345,0.944142060610992,1,1
BASE_NULL,none,PETPEESE,7,10,10,0,-0.097461763185213,0.295218218011921,-0.778236194708309,0.583312668337883,0.749777327212967,1,1
BASE_NULL,none,TRIMFILL,7,10,10,0,-0.00816226562068482,0.116820383566152,-0.237126010070498,0.220801478829128,0.944296958085311,1,1
BASE_NULL,none,SWA,7,10,10,0,-0.0493920827775363,0.129727100560578,-0.348543313118276,0.249759147563203,0.713308524891348,1,1
BASE_NULL,none,TAS,7,10,10,0,-0.00816226562068482,0.116820383566152,-0.277550553200369,0.261226021958999,0.94601192377761,1,1
BASE_NULL,none,PBM,7,10,10,0,-0.0141354709204472,0.125188502993347,-0.302820676503125,0.274549734662231,0.912881136856609,1,1
BASE_NULL,none,REML,8,10,10,0,0.0928195454875882,0.11566623790574,-0.133882115034903,0.31952120601008,0.422276838253043,1,1
BASE_NULL,none,HKSJ,8,10,10,0,0.0928195454875882,0.11742405058418,-0.172812111626194,0.35845120260137,0.44958268012154,1,1
BASE_NULL,none,PETPEESE,8,10,10,0,-0.442411321189466,0.263086167337203,-1.04908911098407,0.16426646860514,0.131147093811144,1,1
BASE_NULL,none,TRIMFILL,8,10,10,0,-0.0482039246793601,0.139357146819185,-0.321338913433223,0.224931064074503,0.729416317651485,1,1
BASE_NULL,none,SWA,8,10,10,0,0.0231893817073869,0.13455764251498,-0.287101098355481,0.333479861770254,0.867451927924094,1,1
BASE_NULL,none,TAS,8,10,10,0,0.0928195454875882,0.11566623790574,-0.173907277426557,0.359546368401733,0.445459550750234,1,1
BASE_NULL,none,PBM,8,10,10,0,0.0225415701593452,0.19121617207194,-0.418403713356459,0.463486853675149,0.909064648849593,1,1
BASE_NULL,none,REML,9,10,10,0,0.0219290652839565,0.152403330268901,-0.276775973167052,0.320634103734965,0.885588627239029,1,1
BASE_NULL,none,HKSJ,9,10,10,0,0.0219290652839565,0.162562226837639,-0.345812240557236,0.389670371125149,0.895662450340571,1,1
BASE_NULL,none,PETPEESE,9,10,10,0,-0.418486214379819,0.385792977910478,-1.30812641677411,0.471153988014473,0.309639710086948,1,1
BASE_NULL,none,TRIMFILL,9,10,10,0,-0.0382332245507467,0.161063970992096,-0.353912806902259,0.277446357800766,0.812362682582178,1,1
BASE_NULL,none,SWA,9,10,10,0,-0.0142063185091832,0.119824421770302,-0.290521930609948,0.262109293591581,0.908547313114048,1,1
BASE_NULL,none,TAS,9,10,10,0,0.0219290652839565,0.152403330268901,-0.329513644535015,0.373371775102928,0.889147184206017,1,1
BASE_NULL,none,PBM,9,10,10,0,-0.00223384918503504,0.173698093355396,-0.402782370739657,0.398314672369587,0.990054001299419,1,1
BASE_NULL,none,REML,10,10,10,0,0.0430227967474211,0.0958431821641285,-0.144826388457982,0.230871981952825,0.653512886638019,1,1
BASE_NULL,none,HKSJ,10,10,10,0,0.0430227967474211,0.0786739477733493,-0.134950037733673,0.220995631228515,0.597777378509089,1,1
BASE_NULL,none,PETPEESE,10,10,10,0,,,,,,1,0
BASE_NULL,none,TRIMFILL,10,10,10,0,0.0430227967474211,0.0958431821641285,-0.144826388457982,0.230871981952825,0.653512886638019,1,1
BASE_NULL,none,SWA,10,10,10,0,0.0177534861913831,0.0972955496034134,-0.20661045353105,0.242117425913816,0.859753309264158,1,1
