method,n_measures,mean_norm_rank,median_norm_rank,worst_norm_rank,meta_rank
HKSJ,1,0.0625,0.0625,0.0625,1
QSE,1,0.125,0.125,0.125,2
SAFE,1,0.1875,0.1875,0.1875,3
REML,1,0.25,0.25,0.25,4
BSC,1,0.3125,0.3125,0.3125,5
FATIHA,1,0.375,0.375,0.375,6
LTH,1,0.4375,0.4375,0.4375,7
DTM,1,0.5,0.5,0.5,8
RMR,1,0.5625,0.5625,0.5625,9
CRT,1,0.625,0.625,0.625,10
AWH,1,0.6875,0.6875,0.6875,11
MRSTACK,1,0.75,0.75,0.75,12
PBM,1,0.8125,0.8125,0.8125,13
MTLE,1,0.875,0.875,0.875,14
CPC,1,0.9375,0.9375,0.9375,15
HGAM,1,1,1,1,16
