method,n_datasets,convergence,median_k,mean_std_shift_vs_reml,mean_std_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
LTH,34,1,80,0.0996619976028606,0.0996619976028606,0.101643490958389,0,8.025,0.156779564780532,8,8,0.0415587385918561,0.0415587385918561,0.0125786871496549,0,0,0.164291493581132,0.0402649878970904,1
QSE,34,1,80,1.21243634494099e-16,1.21243634494099e-16,0.109050755314451,0,1.99166666666667,0.458272850605664,2,2,5.05582130908661e-17,5.05582130908661e-17,0.0279145981419632,0,0,0.480230514729917,0.0626522894331434,2
DTM,34,1,80,0.0274313558083581,0.0274313558083581,0.121124117498601,0,6.61666666666667,0.552813025259317,6,7,0.0114387888330569,0.0114387888330569,0.0529111419311018,0,0,0.579300482930252,0.0840731305857736,3
HKSJ,34,1,80,0,0,0.105032747847206,0,1.21666666666667,0.700340053457026,1,2,0,0,0.0195957638298498,0,0,0.733896114319561,0.0915947712077202,4
RMR,34,1,80,0.171060940966151,0.171060940966151,0.115541724698681,0,9.46666666666667,0.517481511598181,9,10,0.0713318727286392,0.0713318727286392,0.0413534230502272,0,0,0.542276096761074,0.103902771760971,5
REML,34,1,80,0,0,0.113996600087732,0,3.275,0.829726086218374,3,5,0,0,0.0381544156479674,0,0,0.869481543457954,0.111205580031589,6
BSC,34,1,80,3.66936244015958e-09,3.66936244015958e-09,0.113996602439779,0,4.275,0.829726086218374,4,6,1.53011256163091e-09,1.53011256163091e-09,0.038154420517617,0,0,0.869481543457954,0.111205581581375,7
SAFE,34,1,80,0.0237972805328261,0.0237972805328261,0.105667505528566,0,4.46666666666667,0.897553475229392,3,5,0.00992339090775359,0.00992339090775359,0.020909958495395,0,0,0.940558810842436,0.120997141829675,8
FATIHA,34,1,80,0.0374334682660834,0.0374334682660834,0.110522151363393,0,6.18333333333333,0.898021479158941,4,7,0.0156096381737792,0.0156096381737792,0.0309609588166071,0,0,0.941049238690575,0.125367122026321,9
CRT,34,1,80,0.219484204943687,0.219484204943687,0.095567969196661,0,9.69166666666667,0.828036386702349,9,11,0.0915242210440527,0.0915242210440527,0,0,0,0.867710883757631,0.144395963310299,10
AWH,34,1,80,0.218380783100608,0.218380783100608,0.113996602439779,0.0294117647058824,11.1166666666667,0.954276824460849,10,12,0.0910640976165071,0.0910640976165071,0.038154420517617,0.134453781512605,0,1,0.184414990241073,11
MRSTACK,34,1,80,0.372691671866807,0.372691671866807,0.121512005312015,0.0294117647058824,12.3,0.805443663950695,11,13,0.155411251419968,0.155411251419968,0.0537142201925989,0.134453781512605,0,0.844035654335164,0.196812780376312,12
PBM,34,1,80,0.422781993873692,0.422781993873692,0.132666030435292,0.0294117647058824,13,0.76696498884737,12,14,0.176298757674471,0.176298757674471,0.0768073795931467,0.134453781512605,0,0.803713313776318,0.205321370953331,13
MTLE,33,0.970588235294118,80,0.24825802533566,0.24825802533566,0.217566710728334,0,13.375,0.908063781863792,12,14,0.103522813373339,0.103522813373339,0.252584726474922,0,0.5,0.951572707821794,0.27020401358837,14
CPC,33,0.970588235294118,80,0.695078560628549,0.695078560628549,0.578569230730921,0.0606060606060606,15,0,15,15,0.289845566984063,0.289845566984063,1,0.277056277056277,0.5,0,0.408549365490304,15
HGAM,32,0.941176470588235,80,2.39809967722145,2.39809967722145,0.283728949199947,0.21875,16,0,16,16,1,1,0.389566228886423,1,1,0,0.770121921199556,16
