method,n_datasets,median_k,mean_abs_shift_vs_reml,median_se
REML,24,80,0,0.0810167640211742
HKSJ,24,80,0,0.0808743074774094
QSE,24,80,1.80700362080917e-17,0.0808466338832445
FATIHA,24,80,0.00232144690983917,0.0806117910072541
LTH,24,80,0.0123521738492076,0.0770167386857004
RMR,24,80,0.024369058869853,0.0820964252017811
PBM,24,80,0.156794000535418,0.108407467812412
