Example,Context,k,REML,MWM_v3,SIT_v3,SIT_trimmed
BCG,Standard,13,"-0.715 [-1.067, -0.362]","-0.719 [-1.120, -0.317]","-0.715 [-1.110, -0.319]",0
High_Het,High I2,9,"-0.537 [-1.142, 0.068]","-0.477 [-1.212, 0.258]","-0.537 [-1.267, 0.193]",0
Small_k,k=5,5,"-1.059 [-1.649, -0.469]","-1.105 [-2.082, -0.128]","-1.059 [-2.017, -0.100]",0
Outlier,Potential outlier,6,"-1.008 [-1.341, -0.674]","-1.018 [-1.498, -0.538]","-1.008 [-1.480, -0.535]",0
Pub_Bias,Funnel asymmetry,19,"0.084 [-0.018, 0.185]","0.087 [-0.024, 0.199]","0.033 [-0.046, 0.112]",2
