method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
LTH,34,1,80,0.0104981933274998,0.0086135893819036,0.0865399769276942,0,7.79166666666667,0.483263300248371,7,8,0.0340034060917109,0.0280025207249657,0.0158906681880097,0,0,0.246699830734324,0.0461056038616295,1
DTM,34,1,80,0.0037421525175842,0.00362385922784854,0.106875165575533,0,7.25833333333333,0.510327516081063,7,8,0.0121207457076654,0.011773260725082,0.0612903792262461,0,0,0.265523054657424,0.0481517162348197,2
RMR,34,1,80,0.0219282887177515,0.0196966018115498,0.10365482611013,0,9.46666666666667,0.517481511598181,9,10,0.0710252214743283,0.064050379977734,0.0541007492844626,0,0,0.270498674878458,0.0719146081760719,3
AWH,34,1,80,0.0314122465048719,0.031290665614144,0.1018517707721,0,10.7166666666667,0.567810675829043,10,11,0.101743542039768,0.101760450482173,0.050075303897644,0,0,0.305502723546871,0.0904447598820274,4
QSE,34,1,80,1.39798303652249e-17,0.00223719022013258,0.0874120045822046,0,2.775,1.21932961330493,1,5,4.52803481677913e-17,0.00726307456968162,0.0178375300646183,0,0,0.758635632553415,0.095844907723371,5
REML,34,1,80,0,0.00223719022013257,0.101851770121418,0,4.3,1.15663958347033,2,5,0,0.00726307456968159,0.0500753024449518,0,0,0.715034573626849,0.0964155796806432,6
BSC,34,1,80,3.50368489021428e-10,0.00223719056353043,0.1018517707721,0,5.3,1.15663958347033,3,6,1.13483545618531e-09,0.00726307568659433,0.050075303897644,0,0,0.715034573626849,0.0964155804375124,7
CRT,34,1,80,0.0272774688955622,0.0263153201342172,0.0794223163092988,0,9.76666666666667,0.923396482788282,9,11,0.0883510927142275,0.0855779771038568,0,0,0,0.552813464402876,0.104602011088324,8
HKSJ,34,1,80,0,0.00223719022013257,0.0827903509288977,0,2.38333333333333,1.55667893276677,1,5,0,0.00726307456968159,0.0075193695590731,0,0,0.993262854705001,0.122142905490563,9
SAFE,34,1,80,0.00180607804137298,0.00104865223051627,0.0874176118446078,0,2.74166666666667,1.55836497668557,1,6,0.00584984512651886,0.00339731601006368,0.0178500486646287,0,0,0.994435502101253,0.124579644461832,10
FATIHA,34,1,80,0.00223662181700641,4.13817760257015e-06,0.0892396773990167,0,3.51666666666667,1.56636566629897,1,6,0.00724436648713937,0,0.0219179356705199,0,0,1,0.125538989047864,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0206644720638142,0.185398140246958,0,12.2166666666667,0.5051554937137,12,13,0.0678475868449387,0.0671984095274657,0.236598335384513,0,1,0.261925901288637,0.233728927725778,12
PBM,34,1,80,0.121424154299671,0.119186964084833,0.110923872068302,0.0294117647058824,12.9083333333333,0.549955434914646,12,14,0.393290035646315,0.387646026829203,0.0703293956835578,0.194117647058824,0,0.293084362711653,0.2448706426107,13
MRSTACK,34,1,80,0.164660338834208,0.16242336889215,0.158254301449616,0.0294117647058824,13.9,0.437717532954144,13,14,0.53333104029546,0.528273843046464,0.175997843340454,0.194117647058824,0,0.215022645560053,0.316270697721358,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115047933899329,0.527336811419461,0.121212121212121,14.975,0.241232828012533,15,15,0.380102697144559,0.374183696211319,1,0.8,1,0.0783670845253756,0.589347056681338,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307456859625827,0.298391774777742,0.151515151515152,15.9833333333333,0.128555865849279,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
