method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,median_se,sign_flip_rate_vs_reml,score_shift,score_se,score_flip,score_convergence,world_score,rank
HKSJ,34,1,80,0,0.0827903509288977,0,0,0.0075193695590731,0,0,0.00187984238976827,1
QSE,34,1,80,1.39798303652249e-17,0.0874120045822046,0,4.52803481677913e-17,0.0178375300646183,0,0,0.00445938251615459,2
SAFE,34,1,80,0.00180607804137298,0.0874176118446078,0,0.00584984512651886,0.0178500486646287,0,0,0.00680245021676472,3
FATIHA,34,1,80,0.00223658714257306,0.0892390486340199,0,0.00724425417744935,0.0219165319093028,0,0,0.00837683464830543,4
REML,34,1,80,0,0.101851770121418,0,0,0.0500753024449518,0,0,0.012518825611238,5
BSC,34,1,80,3.50368489021428e-10,0.1018517707721,0,1.13483545618531e-09,0.050075303897644,0,0,0.0125188264283452,6
LTH,34,1,80,0.0104981933274998,0.0865399769276942,0,0.0340034060917109,0.0158906681880097,0,0,0.0175740294836868,7
DTM,34,1,80,0.0037421525175842,0.106875165575533,0,0.0121207457076654,0.0612903792262461,0,0,0.0201708930896277,8
CRT,34,1,80,0.0272774688955622,0.0794223163092988,0,0.0883510927142275,0,0,0,0.035340437085691,9
RMR,34,1,80,0.0219282887177515,0.10365482611013,0,0.0710252214743283,0.0541007492844626,0,0,0.041935275910847,10
AWH,34,1,80,0.0314122465048719,0.1018517707721,0,0.101743542039768,0.050075303897644,0,0,0.0532162427903183,11
PBM,34,1,80,0.119836674483159,0.113621810924252,0.0294117647058824,0.388148225129084,0.0763527302382615,0.194117647058824,0,0.213171002022964,12
MTLE,33,0.970588235294118,80,0.0209472275095444,0.185398140246958,0,0.0678475868449387,0.236598335384513,0,1,0.236288618584104,13
MRSTACK,34,1,80,0.164660338834208,0.158254301449616,0.0294117647058824,0.53333104029546,0.175997843340454,0.194117647058824,0,0.296155406365062,14
CPC,33,0.970588235294118,80,0.117352702495895,0.527336811419461,0.121212121212121,0.380102697144559,1,0.8,1,0.712041078857824,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.298391774777742,0.151515151515152,1,0.488864416889632,1,1,0.872216104222408,16
