method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
DTM,34,1,80,0.0037421525175842,0.00362380935182918,0.106875165575533,0,7.17333333333333,0.379803316578616,7,8,0.0121207457076654,0.011773067669214,0.0612903792262461,0,0,0.207657467642139,0.0412078033206944,1
LTH,34,1,80,0.0104981933274998,0.00861345304530455,0.0865399769276942,0,7.81333333333333,0.439442396323797,7,8,0.0340034060917109,0.0280020442364068,0.0158906681880097,0,0,0.249194775402459,0.0464048923943227,2
RMR,34,1,80,0.0219282887177515,0.0196965297336965,0.10365482611013,0,9.42,0.495211974137196,9,10,0.0710252214743283,0.0640501075687675,0.0541007492844626,0,0,0.288037060145886,0.0740191544781907,3
CRT,34,1,80,0.0272774688955622,0.0263153760963014,0.0794223163092988,0,9.75333333333333,0.68479817892668,9,11,0.0883510927142275,0.0855781182082903,0,0,0,0.420079683357023,0.0886739884057967,4
REML,34,1,80,0,0.00223727832784499,0.101851770121418,0,4.5,1.02812790053853,3,5,0,0.00726333092641813,0.0500753024449518,0,0,0.65920128568203,0.0897156415257469,5
BSC,34,1,80,3.50368489021428e-10,0.00223727867124285,0.1018517707721,0,5.5,1.02812790053853,4,6,1.13483545618531e-09,0.00726333204333071,0.050075303897644,0,0,0.65920128568203,0.0897156422826161,6
QSE,34,1,80,1.39798303652249e-17,0.002237278327845,0.0874120045822046,0,2.57333333333333,1.13720879695627,1,4,4.52803481677913e-17,0.00726333092641816,0.0178375300646183,0,0,0.735173731679424,0.0930295360169742,7
AWH,34,1,80,0.0314122465048719,0.0312907883787689,0.1018517707721,0,10.9266666666667,0.568722419249144,10,11,0.101743542039768,0.101760806653534,0.050075303897644,0,0,0.339235468894972,0.0944927676814991,8
HKSJ,34,1,80,0,0.00223727832784499,0.0827903509288977,0,2.12,1.3103613928477,1,4,0,0.00726333092641813,0.0075193695590731,0,0,0.855770707618209,0.10564390423863,9
SAFE,34,1,80,0.00180607804137298,0.00104859266704308,0.0874176118446078,0,2.69333333333333,1.33082538180935,1,4,0.00584984512651886,0.00339709258957291,0.0178500486646287,0,0,0.870023425989045,0.109650146175859,10
FATIHA,34,1,80,0.00223688796643675,4.14716269873153e-06,0.0892390555495891,0,3.62666666666667,1.51744516244544,1,6,0.00724522853900662,0,0.021916547348788,0,0,1,0.125538928801363,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0206643832695562,0.185398140246958,0,11.9066666666667,0.334717484131686,12,12,0.0678475868449387,0.0671980823178426,0.236598335384513,0,1,0.17625617664335,0.223448488782226,12
PBM,34,1,80,0.122601494215504,0.120364215892953,0.117939742770472,0.0294117647058824,13.08,0.29583234867656,13,13,0.397103412483374,0.391474994016758,0.0859928108638239,0.194117647058824,0,0.149173534764863,0.232102073674948,13
MRSTACK,34,1,80,0.164660338834208,0.162423282342501,0.158254301449616,0.0294117647058824,14.08,0.484941012118896,14,15,0.53333104029546,0.52827346015579,0.175997843340454,0.194117647058824,0,0.280883560927395,0.324173923329491,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115047848491979,0.527336811419461,0.121212121212121,14.84,0.402675615113098,14,15,0.380102697144559,0.374183338084327,1,0.8,1,0.223587520679039,0.60677343023184,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307456910608178,0.298391774777742,0.151515151515152,15.9933333333333,0.0816496580927726,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
