method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
LTH,34,1,80,0.0104981933274998,0.00857657503068547,0.0865399769276942,0,7.78333333333333,0.488236981536688,7,8,0.0340034060917109,0.0277665700540606,0.0158906681880097,0,0,0.242830759633431,0.0455894061819232,1
DTM,34,1,80,0.0037421525175842,0.00358682271607345,0.106875165575533,0,7.25833333333333,0.510327516081063,7,8,0.0121207457076654,0.0115373790391922,0.0612903792262461,0,0,0.257744696034755,0.0471664192292036,2
RMR,34,1,80,0.0219282887177515,0.019733594990808,0.10365482611013,0,9.46666666666667,0.517481511598181,9,10,0.0710252214743283,0.0640548257975939,0.0541007492844626,0,0,0.262574558071064,0.0709646922395538,3
AWH,34,1,80,0.0314122465048719,0.0313276607266458,0.1018517707721,0,10.7166666666667,0.567810675829043,10,11,0.101743542039768,0.101764574819572,0.050075303897644,0,0,0.296553181492921,0.0893717221897812,4
QSE,34,1,80,1.39798303652249e-17,0.00220018369465242,0.0874120045822046,0,2.75,1.21786422778195,1,5,4.52803481677913e-17,0.0070273296162156,0.0178375300646183,0,0,0.735422476928273,0.0930074651585915,5
REML,34,1,80,0,0.00220018369465241,0.101851770121418,0,4.275,1.16649658624202,2,5,0,0.00702732961621557,0.0500753024449518,0,0,0.700742748491933,0.0946486967746908,6
BSC,34,1,80,3.50368489021428e-10,0.0022001840349326,0.1018517707721,0,5.275,1.16649658624202,3,6,1.13483545618531e-09,0.00702733072297836,0.050075303897644,0,0,0.700742748491933,0.094648697529327,7
CRT,34,1,80,0.0272774688955622,0.0263522828469311,0.0794223163092988,0,9.76666666666667,0.923396482788282,9,11,0.0883510927142275,0.0855821367164654,0,0,0,0.536619083906939,0.102659600543585,8
HKSJ,34,1,80,0,0.00220018369465241,0.0827903509288977,0,2.375,1.55061657565817,1,5,0,0.00702732961621557,0.0075193695590731,0,0,0.960072873850459,0.118108243898256,9
SAFE,34,1,80,0.00180607804137298,0.0010116888651719,0.0874176118446078,0,2.73333333333333,1.54339652362303,1,5.10000000000001,0.00584984512651886,0.00316174503572673,0.0178500486646287,0,0,0.955198415215242,0.119819368421156,10
FATIHA,34,1,80,0.00223645897875845,3.95933001017119e-05,0.0892406577047185,0,3.61666666666667,1.6097566668943,1,6,0.0072438390578094,0,0.0219201242706043,0,0,1,0.125539266961427,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0207026931808925,0.185398140246958,0,12.2,0.495356590004114,12,13,0.0678475868449387,0.0672068218581975,0.236598335384513,0,1,0.247637406012777,0.232016159005435,12
PBM,34,1,80,0.120534105650823,0.118406494852648,0.121081123786721,0.0294117647058824,12.9416666666667,0.554520511071394,12,14,0.390407188597871,0.384988859969848,0.093006160622636,0.194117647058824,0,0.287580620346402,0.247073208156188,13
MRSTACK,34,1,80,0.164660338834208,0.162460429921397,0.158254301449616,0.0294117647058824,13.8833333333333,0.452506248312556,13,14,0.53333104029546,0.52827447458716,0.175997843340454,0.194117647058824,0,0.218707944415587,0.316713072522975,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115086061595063,0.527336811419461,0.121212121212121,14.975,0.241232828012533,15,15,0.380102697144559,0.37418913641811,1,0.8,1,0.07607136188676,0.589072766810198,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307494987105045,0.298391774777742,0.151515151515152,15.9833333333333,0.128555865849279,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
