method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
DTM,34,1,80,0.0037421525175842,0.00358761955605344,0.106875165575533,0,7.275,0.484421165460613,7,8,0.0121207457076654,0.0115377124176542,0.0612903792262461,0,0,0.220710772932979,0.042722421800252,1
LTH,34,1,80,0.0104981933274998,0.00857734497785197,0.0865399769276942,0,7.79166666666667,0.483263300248371,7,8,0.0340034060917109,0.0277668973833182,0.0158906681880097,0,0,0.21987058755562,0.0428342575450225,2
RMR,34,1,80,0.0219282887177515,0.0197327702707666,0.10365482611013,0,9.475,0.517954931364081,9,10,0.0710252214743283,0.0640501484933766,0.0541007492844626,0,0,0.245043985004617,0.0688599944646523,3
QSE,34,1,80,1.39798303652249e-17,0.00220101209014126,0.0874120045822046,0,2.76666666666667,1.21429395284732,1,5,4.52803481677913e-17,0.00702774300315523,0.0178375300646183,0,0,0.750330660300341,0.0947965381083664,4
REML,34,1,80,0,0.00220101209014125,0.101851770121418,0,4.3,1.15663958347033,2,5,0,0.0070277430031552,0.0500753024449518,0,0,0.708494738831058,0.0955790265605124,5
BSC,34,1,80,3.50368489021428e-10,0.00220101243353911,0.1018517707721,0,5.3,1.15663958347033,3,6,1.13483545618531e-09,0.00702774412006383,0.050075303897644,0,0,0.708494738831058,0.0955790273173807,6
AWH,34,1,80,0.0314122465048719,0.0313268944800949,0.1018517707721,0,10.8333333333333,0.690065559342354,10,12,0.101743542039768,0.101760276887625,0.050075303897644,0,0,0.369933161556809,0.0981763742524196,7
CRT,34,1,80,0.0272774688955622,0.026351536287457,0.0794223163092988,0,9.79166666666667,0.951741732262473,9,11,0.0883510927142275,0.0855778216314711,0,0,0,0.559814066316788,0.105442049114068,8
HKSJ,34,1,80,0,0.00220101209014125,0.0827903509288977,0,2.38333333333333,1.55667893276677,1,5,0,0.0070277430031552,0.0075193695590731,0,0,0.998776550645805,0.122752776058824,9
FATIHA,34,1,80,0.00216424395692001,4.03054375952166e-05,0.0892407050323756,0,3.50833333333333,1.53390715118595,1,6,0.00700993626740622,0,0.0219202299328626,0,0,0.982252591122431,0.123358138301436,10
SAFE,34,1,80,0.00180607804137298,0.00101243913129406,0.0874176118446078,0,2.74166666666667,1.55836497668557,1,6,0.00584984512651886,0.00316188491203707,0.0178500486646287,0,0,1,0.125195589368115,11
PBM,34,1,80,0.119303516833052,0.117102504748205,0.118237483725685,0.0294117647058824,13.1083333333333,0.445251950832209,13,14,0.386421339795396,0.380747220438138,0.0866575380795392,0.194117647058824,0,0.192288292470267,0.232685329319774,12
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0207018237732267,0.185398140246958,0,11.9,0.571008248774102,11,12,0.0678475868449387,0.0672020150198076,0.236598335384513,0,1,0.283541230657198,0.23632356045832,13
MRSTACK,34,1,80,0.164660338834208,0.162459544991397,0.158254301449616,0.0294117647058824,14.1083333333333,0.64555146555319,13,15,0.53333104029546,0.528271930392319,0.175997843340454,0.194117647058824,0,0.337632259610198,0.330983430623464,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115085207729748,0.527336811419461,0.121212121212121,14.75,0.553825504175846,14,15,0.380102697144559,0.374185920231077,1,0.8,1,0.271072861626241,0.612472239217789,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307494156777344,0.298391774777742,0.151515151515152,15.9666666666667,0.180258140451075,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
