scenario,scenario_kind,method,n,applicable_n,applicability,convergence,bias,abs_bias,rmse,coverage,ci_width,type1_error,power
BASE_NULL,none,REML,500,500,1,1,0.00299578376369638,0.0866700027926671,0.110874723108065,0.892,0.397974510164649,0.108,
BASE_NULL,none,HKSJ,500,500,1,1,0.00299578376369638,0.0866700027926671,0.110874723108065,0.914,0.450030563378322,0.086,
BASE_NULL,none,PETPEESE,500,500,1,0.992,-0.00109830014332387,0.214799841702004,0.266338902866878,0.92741935483871,1.25754569549812,0.0725806451612903,
BASE_NULL,none,TRIMFILL,500,500,1,1,-0.00470456579910878,0.100149065780357,0.128222943307618,0.85,0.404834344115687,0.15,
BASE_NULL,none,SWA,500,500,1,1,0.00140062672583564,0.0834604150849092,0.106880589567096,0.886,0.42768555929302,0.114,
BASE_NULL,none,TAS,500,500,1,1,0.00299578376369638,0.0866700027926671,0.110874723108065,0.934,0.468238637742569,0.066,
BASE_NULL,none,PBM,500,500,1,1,-0.000226275859410497,0.0876988786029632,0.111775330625238,0.948,0.530718708867563,0.052,
BASE_SMALLK,none,REML,500,500,1,0.998,-0.00529020011487668,0.107882711813961,0.138353560462184,0.907815631262525,0.529471616953042,,0.601202404809619
BASE_SMALLK,none,HKSJ,500,500,1,0.998,-0.00529020011487668,0.107882711813961,0.138353560462184,0.945891783567134,0.669645443486015,,0.43687374749499
BASE_SMALLK,none,PETPEESE,500,500,1,1,-0.0582608209632787,0.311693892342468,0.409120981892605,0.912,2.14952420141509,,0.154
BASE_SMALLK,none,TRIMFILL,500,500,1,0.998,-0.00972153585613105,0.125510034528458,0.160471660737576,0.861723446893788,0.534093644806406,,0.581162324649299
BASE_SMALLK,none,SWA,500,0,0,,,,,,,,
BASE_SMALLK,none,TAS,500,0,0,,,,,,,,
BASE_SMALLK,none,PBM,500,500,1,0.998,-0.00801379371077609,0.116856194522213,0.149429937441636,0.971943887775551,0.921419254766035,,0.296593186372746
BASE_STD,none,REML,500,500,1,1,-0.000442180617076006,0.0597848079945607,0.073309975452438,0.94,0.281473006929146,,0.984
BASE_STD,none,HKSJ,500,500,1,1,-0.000442180617076006,0.0597848079945607,0.073309975452438,0.944,0.299389373883498,,0.974
BASE_STD,none,PETPEESE,500,500,1,1,-0.0359122185152039,0.124479685358719,0.159700725505585,0.948,0.680118998196255,,0.42
BASE_STD,none,TRIMFILL,500,500,1,1,0.000192679193140733,0.0756016661993838,0.0943565170788198,0.87,0.289902346080819,,0.94
BASE_STD,none,SWA,500,500,1,1,-0.0393021685117898,0.0652209216435256,0.0801265161371726,0.89,0.273473391497346,,0.93
BASE_STD,none,TAS,500,500,1,1,-0.000442180617075992,0.0597848079945607,0.073309975452438,0.952,0.301716178794548,,0.972
BASE_STD,none,PBM,500,500,1,1,-0.0062800686879832,0.0603182704764536,0.0741480877550101,0.976,0.348582230583617,,0.934
HET_ZERO,none,REML,500,500,1,1,0.0024623373964908,0.0385078556502054,0.0482091228015078,0.95,0.194050452603788,,1
HET_ZERO,none,HKSJ,500,500,1,1,0.0024623373964908,0.0385078556502054,0.0482091228015078,0.942,0.194865692836152,,1
HET_ZERO,none,PETPEESE,500,500,1,1,-0.0129168652088078,0.073676596042741,0.0989856683828921,0.946,0.355401659125501,,0.76
HET_ZERO,none,TRIMFILL,500,500,1,1,0.00356063128594441,0.0448563799739193,0.0564382501398526,0.918,0.196689294258267,,1
HET_ZERO,none,SWA,500,500,1,1,-0.0312149159133581,0.0447212696216683,0.0543918036118257,0.882,0.174452906726686,,1
HET_ZERO,none,TAS,500,500,1,1,0.00246233739649081,0.0385078556502054,0.0482091228015078,0.966,0.208006308284138,,1
HET_ZERO,none,PBM,500,500,1,1,-0.00290289376001496,0.0387420162226863,0.0480818596112732,0.974,0.230259502408836,,0.998
HET_HIGH,none,REML,500,500,1,1,0.00361915700541407,0.10315286120598,0.129766580028603,0.954,0.518386995891692,,0.608
