method,n_datasets,median_k,mean_abs_shift_vs_reml,median_se
REML,29,80,0,0.0995591980488147
HKSJ,29,80,0,0.0832106574722912
QSE,29,80,1.6390145945436e-17,0.0924614869080072
FATIHA,29,80,0.00393588470137282,0.088812051616335
LTH,29,80,0.0108693385535693,0.0831689575532956
RMR,29,80,0.0226229683299866,0.101496812242115
CRT,29,80,0.0282082523453116,0.079466062049283
AWH,29,80,0.034414698384193,0.0995591986766263
PBM,29,80,0.131284822677589,0.110937279836514
MRSTACK,29,80,0.162385467740981,0.140609640182492
