method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
LTH,34,1,80,0.0104981933274998,0.00859895943218497,0.0865399769276942,0,7.78333333333333,0.488236981536688,7,8,0.0340034060917109,0.0279123700544664,0.0158906681880097,0,0,0.248483737252402,0.046299839496289,1
DTM,34,1,80,0.0037421525175842,0.00360938454897394,0.106875165575533,0,7.25833333333333,0.510327516081063,7,8,0.0121207457076654,0.0116837139175507,0.0612903792262461,0,0,0.263744862571698,0.0479186328868756,2
RMR,34,1,80,0.0219282887177515,0.0197110614533047,0.10365482611013,0,9.46666666666667,0.517481511598181,9,10,0.0710252214743283,0.0640546240300245,0.0541007492844626,0,0,0.268687161360398,0.0716981602454087,3
AWH,34,1,80,0.0314122465048719,0.0313052588433581,0.1018517707721,0,10.7166666666667,0.567810675829043,10,11,0.101743542039768,0.101764899360257,0.050075303897644,0,0,0.303456789999293,0.0902002266094967,4
QSE,34,1,80,1.39798303652249e-17,0.0022227309785151,0.0874120045822046,0,2.75,1.21786422778195,1,5,4.52803481677913e-17,0.00717360544082989,0.0178375300646183,0,0,0.752542741300214,0.0950940775646395,5
REML,34,1,80,0,0.00222273097851509,0.101851770121418,0,4.3,1.15663958347033,2,5,0,0.00717360544082986,0.0500753024449518,0,0,0.710246029666007,0.0958212711969947,6
BSC,34,1,80,3.50368489021428e-10,0.00222273132191295,0.1018517707721,0,5.3,1.15663958347033,3,6,1.13483545618531e-09,0.00717360655773579,0.050075303897644,0,0,0.710246029666007,0.0958212719538624,7
CRT,34,1,80,0.0272774688955622,0.0263298750251066,0.0794223163092988,0,9.76666666666667,0.923396482788282,9,11,0.0883510927142275,0.0855823998436619,0,0,0,0.549111305550597,0.104158725028807,8
HKSJ,34,1,80,0,0.00222273097851509,0.0827903509288977,0,2.375,1.55061657565817,1,5,0,0.00717360544082986,0.0075193695590731,0,0,0.98242288616624,0.120822426057565,9
SAFE,34,1,80,0.00180607804137298,0.0010340888127654,0.0874176118446078,0,2.74166666666667,1.55836497668557,1,6,0.00584984512651886,0.0033075315909919,0.0178500486646287,0,0,0.987775826760129,0.123760730848701,10
FATIHA,34,1,80,0.00223673115465185,1.71730304228341e-05,0.0892389003917711,0,3.55833333333333,1.57605951202173,1,6,0.00724472062925153,0,0.021916200948259,0,0,1,0.125538754709122,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0206794812293388,0.185398140246958,0,12.2,0.495356590004114,12,13,0.0678475868449387,0.0672044217401117,0.236598335384513,0,1,0.253402279935353,0.232707415850166,12
PBM,34,1,80,0.123522662205976,0.121327557505772,0.113940191187906,0.0294117647058824,12.9583333333333,0.556033874388771,12,14,0.400087054361699,0.394563577372454,0.077063536133425,0.194117647058824,0,0.295320850949044,0.249368371717062,13
MRSTACK,34,1,80,0.164660338834208,0.162437833128646,0.158254301449616,0.0294117647058824,13.8666666666667,0.483914940322974,13,14,0.53333104029546,0.528275274740165,0.175997843340454,0.194117647058824,0,0.245497878650151,0.319928040664784,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115062830023664,0.527336811419461,0.121212121212121,14.975,0.241232828012533,15,15,0.380102697144559,0.3741874710952,1,0.8,1,0.0778422648268967,0.589284908791974,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307471766997764,0.298391774777742,0.151515151515152,15.9833333333333,0.128555865849279,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
